ensembl_id	biotype	description
ENSG00000223834	lncRNA	novel transcript
ENSG00000223838	lncRNA	novel transcript
ENSG00000223842	lncRNA	novel transcript
ENSG00000223859	lncRNA	novel transcript
ENSG00000223870	lncRNA	novel transcript
ENSG00000223872	lncRNA	novel transcript
ENSG00000223881	lncRNA	novel transcript
ENSG00000223884	lncRNA	novel transcript, antisense to RNF144A
ENSG00000223901	lncRNA	novel transcript
ENSG00000223906	lncRNA	novel transcript
ENSG00000223911	lncRNA	novel transcript
ENSG00000223930	lncRNA	novel transcript, antisense to KCNMB2
ENSG00000223944	lncRNA	novel transcript
ENSG00000223946	lncRNA	novel transcript
ENSG00000223947	lncRNA	novel transcript
ENSG00000223969	lncRNA	novel transcript
ENSG00000223989	lncRNA	CTNNBIP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40782]
ENSG00000223991	lncRNA	TWIST1 associated long noncoding RNA regulated by androgen receptor [Source:HGNC Symbol;Acc:HGNC:56695]
ENSG00000223999	lncRNA	novel transcript
ENSG00000224015	lncRNA	novel transcript
ENSG00000224018	lncRNA	novel transcript
ENSG00000224027	lncRNA	novel transcript
ENSG00000224038	lncRNA	novel transcript
ENSG00000224049	lncRNA	novel transcript
ENSG00000224066	lncRNA	IQCC and CCDC28B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41107]
ENSG00000224076	lncRNA	novel transcript
ENSG00000224077	lncRNA	novel transcript
ENSG00000224079	lncRNA	CHLSN antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58147]
ENSG00000224090	lncRNA	CFAP65 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58353]
ENSG00000224091	lncRNA	novel transcript
ENSG00000224099	lncRNA	novel transcript
ENSG00000224100	lncRNA	novel transcript, antisense to PKNOX1
ENSG00000224127	lncRNA	novel transcript, antisense to LHX8
ENSG00000224132	lncRNA	novel transcript
ENSG00000224138	lncRNA	novel transcript
ENSG00000224194	lncRNA	novel transcript
ENSG00000224216	lncRNA	novel transcript
