ensembl_id	biotype	description
ENSG00000276077	lncRNA	long intergenic non-protein coding RNA 3105 [Source:HGNC Symbol;Acc:HGNC:56835]
ENSG00000276519	lncRNA	novel transcript
ENSG00000276631	NOT_FOUND_IN_ENSEMBL	
ENSG00000276888	lncRNA	novel transcript, antisense to POTEM
ENSG00000276898	lncRNA	novel transcript
ENSG00000278147	lncRNA	novel transcript
ENSG00000278255	lncRNA	novel transcript, antisense to CACNA1C
ENSG00000278595	lncRNA	novel transcript
ENSG00000278698	lncRNA	novel transcript
ENSG00000278907	lncRNA	novel transcript, antisense to PCDHA9
ENSG00000279998	lncRNA	novel transcript
ENSG00000280655	IG_V_pseudogene	novel gene identical to IGHV1OR15-4
ENSG00000280800	lncRNA	novel transcript, similar to YY1 associated myogenesis RNA 1 YAM1
ENSG00000282033	lncRNA	novel transcript
ENSG00000282898	lncRNA	novel transcript
ENSG00000283571	IG_pseudogene	novel IG pseudogene
ENSG00000284948	lncRNA	novel transcript
ENSG00000284968	lncRNA	Novel transcript, antisense to AFF1
ENSG00000285085	protein_coding	novel protein
ENSG00000285336	lncRNA	novel transcript
ENSG00000285412	lncRNA	novel transcript, antisense to CPVL
ENSG00000285513	lncRNA	novel transcript, antisense to APOA4
ENSG00000285559	lncRNA	novel transcript, antisense to CCT6B
ENSG00000285566	protein_coding	novel keratin-associated protein
ENSG00000286181	lncRNA	FOXP3 regulating long intergenic non-coding RNA [Source:HGNC Symbol;Acc:HGNC:53589]
ENSG00000286498	lncRNA	novel transcript, antisense to PARK2
ENSG00000286589	lncRNA	novel transcript
ENSG00000286845	lncRNA	novel transcript
ENSG00000287411	NOT_FOUND_IN_ENSEMBL	
ENSG00000287675	lncRNA	novel transcript
ENSG00000288099	lncRNA	novel transcript
ENSG00000288774	lncRNA	novel transcript, antisense to SCGB3A2
ENSG00000288836	lncRNA	novel transcript
ENSG00000288968	lncRNA	novel transcript
ENSG00000289007	lncRNA	long intergenic non-protein coding RNA 3112 [Source:HGNC Symbol;Acc:HGNC:56853]
ENSG00000289007.1	NOT_FOUND_IN_ENSEMBL	
ENSG00000289181	lncRNA	novel transcript
ENSG00000289258	protein_coding	novel protein
ENSG00000289356	lncRNA	novel transcript
ENSG00000289373	lncRNA	novel transcript, antisense to NDRG3
ENSG00000289391	lncRNA	novel transcript
ENSG00000289710	protein_coding	novel protein, similar to CD24 molecule CD52
ENSG00000289905	NOT_FOUND_IN_ENSEMBL	
ENSG00000290050	lncRNA	novel transcript
