organ	gene_adult_evidence_provenance	elev_pct	adult_pct	gene	in_hdma_universe	hdma_median_pct	elevated	adult_excluded	passes_F_developmental	n_candidates_this_combo
Thyroid	GTEx+HPA	90	25	DLK1	True	79.7698473111539	False	True	False	242
Thyroid	GTEx+HPA	90	25	IGF2	True	89.54922951370553	False	False	False	242
Thyroid	GTEx-only	90	25	H19	True	80.72104075656473	False	False	False	242
Thyroid	GTEx+HPA	90	25	LIN28B	True	48.425553319919516	False	True	False	242
Thyroid	GTEx+HPA	90	25	PEG10	True	93.14963275886899	True	False	False	242
Spleen	GTEx+HPA	75	10	DLK1	True	45.988612836438925	False	True	False	748
Spleen	GTEx+HPA	75	10	IGF2	True	75.75844775137712	True	False	False	748
Spleen	GTEx-only	75	10	H19	True	77.5509334242605	True	False	False	748
Spleen	GTEx+HPA	75	10	LIN28B	True	59.24473616912454	False	True	False	748
Spleen	GTEx+HPA	75	10	PEG10	True	66.4606597902992	False	True	False	748
Spleen	GTEx+HPA	75	25	DLK1	True	45.988612836438925	False	True	False	1090
Spleen	GTEx+HPA	75	25	IGF2	True	75.75844775137712	True	False	False	1090
Spleen	GTEx-only	75	25	H19	True	77.5509334242605	True	False	False	1090
Spleen	GTEx+HPA	75	25	LIN28B	True	59.24473616912454	False	True	False	1090
Spleen	GTEx+HPA	75	25	PEG10	True	66.4606597902992	False	True	False	1090
Spleen	GTEx+HPA	90	10	DLK1	True	45.988612836438925	False	True	False	204
Spleen	GTEx+HPA	90	10	IGF2	True	75.75844775137712	False	False	False	204
Spleen	GTEx-only	90	10	H19	True	77.5509334242605	False	False	False	204
Spleen	GTEx+HPA	90	10	LIN28B	True	59.24473616912454	False	True	False	204
Spleen	GTEx+HPA	90	10	PEG10	True	66.4606597902992	False	True	False	204
Spleen	GTEx+HPA	90	25	DLK1	True	45.988612836438925	False	True	False	340
Spleen	GTEx+HPA	90	25	IGF2	True	75.75844775137712	False	False	False	340
Spleen	GTEx-only	90	25	H19	True	77.5509334242605	False	False	False	340
Spleen	GTEx+HPA	90	25	LIN28B	True	59.24473616912454	False	True	False	340
Spleen	GTEx+HPA	90	25	PEG10	True	66.4606597902992	False	True	False	340
Thymus	HPA-only	75	10	DLK1	True	38.497973117132496	False	True	False	671
Thymus	HPA-only	75	10	IGF2	True	75.74141241732451	True	False	False	671
Thymus	UNCOVERED_BY_EITHER_PLATFORM	75	10	H19	True	64.37379987198635	False		False	671
Thymus	HPA-only	75	10	LIN28B	True	66.78045658203541	False	True	False	671
Thymus	HPA-only	75	10	PEG10	True	71.27800298698529	False	False	False	671
Thymus	HPA-only	75	25	DLK1	True	38.497973117132496	False	True	False	1191
Thymus	HPA-only	75	25	IGF2	True	75.74141241732451	True	True	True	1191
Thymus	UNCOVERED_BY_EITHER_PLATFORM	75	25	H19	True	64.37379987198635	False		False	1191
Thymus	HPA-only	75	25	LIN28B	True	66.78045658203541	False	True	False	1191
Thymus	HPA-only	75	25	PEG10	True	71.27800298698529	False	False	False	1191
Thymus	HPA-only	90	10	DLK1	True	38.497973117132496	False	True	False	203
Thymus	HPA-only	90	10	IGF2	True	75.74141241732451	False	False	False	203
Thymus	UNCOVERED_BY_EITHER_PLATFORM	90	10	H19	True	64.37379987198635	False		False	203
Thymus	HPA-only	90	10	LIN28B	True	66.78045658203541	False	True	False	203
Thymus	HPA-only	90	10	PEG10	True	71.27800298698529	False	False	False	203
Thymus	HPA-only	90	25	DLK1	True	38.497973117132496	False	True	False	379
Thymus	HPA-only	90	25	IGF2	True	75.74141241732451	False	True	False	379
Thymus	UNCOVERED_BY_EITHER_PLATFORM	90	25	H19	True	64.37379987198635	False		False	379
Thymus	HPA-only	90	25	LIN28B	True	66.78045658203541	False	True	False	379
Thymus	HPA-only	90	25	PEG10	True	71.27800298698529	False	False	False	379
Liver	GTEx+HPA	75	10	DLK1	True	72.69569041336852	False	True	False	564
Liver	GTEx+HPA	75	10	IGF2	True	94.64324535849384	True	False	False	564
Liver	GTEx-only	75	10	H19	True	90.14739771294404	True	False	False	564
Liver	GTEx+HPA	75	10	LIN28B	True	70.56728232189974	False	True	False	564
Liver	GTEx+HPA	75	10	PEG10	True	88.22089108477985	True	False	False	564
Liver	GTEx+HPA	75	10	AFP	True	99.72580572661482	True	False	False	564
Liver	GTEx+HPA	75	10	GPC3	True	99.96103896103897	True	False	False	564
Liver	GTEx+HPA	75	25	DLK1	True	72.69569041336852	False	True	False	800
Liver	GTEx+HPA	75	25	IGF2	True	94.64324535849384	True	False	False	800
Liver	GTEx-only	75	25	H19	True	90.14739771294404	True	False	False	800
Liver	GTEx+HPA	75	25	LIN28B	True	70.56728232189974	False	True	False	800
Liver	GTEx+HPA	75	25	PEG10	True	88.22089108477985	True	False	False	800
Liver	GTEx+HPA	75	25	AFP	True	99.72580572661482	True	True	True	800
Liver	GTEx+HPA	75	25	GPC3	True	99.96103896103897	True	False	False	800
Liver	GTEx+HPA	90	10	DLK1	True	72.69569041336852	False	True	False	148
Liver	GTEx+HPA	90	10	IGF2	True	94.64324535849384	True	False	False	148
Liver	GTEx-only	90	10	H19	True	90.14739771294404	True	False	False	148
Liver	GTEx+HPA	90	10	LIN28B	True	70.56728232189974	False	True	False	148
Liver	GTEx+HPA	90	10	PEG10	True	88.22089108477985	False	False	False	148
Liver	GTEx+HPA	90	10	AFP	True	99.72580572661482	True	False	False	148
Liver	GTEx+HPA	90	10	GPC3	True	99.96103896103897	True	False	False	148
Liver	GTEx+HPA	90	25	DLK1	True	72.69569041336852	False	True	False	230
Liver	GTEx+HPA	90	25	IGF2	True	94.64324535849384	True	False	False	230
Liver	GTEx-only	90	25	H19	True	90.14739771294404	True	False	False	230
Liver	GTEx+HPA	90	25	LIN28B	True	70.56728232189974	False	True	False	230
Liver	GTEx+HPA	90	25	PEG10	True	88.22089108477985	False	False	False	230
Liver	GTEx+HPA	90	25	AFP	True	99.72580572661482	True	True	True	230
Liver	GTEx+HPA	90	25	GPC3	True	99.96103896103897	True	False	False	230
Skin	GTEx+HPA	75	10	DLK1	True	51.54683166204394	False	True	False	778
