donor_key	n_cells	a_m11hi_revcschi	b_m11hi_revcsclo	c_m11lo_revcschi	d_m11lo_revcsclo	estimable	odds_ratio	not_estimable_reason
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2801	695	181	350	23	141	True	3.1703105590062113	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2803	1036	175	546	5	310	True	19.871794871794872	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2811	837	225	220	101	291	True	2.9466696669666965	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2816	347	47	284	2	14	True	1.158450704225352	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2817	450	219	227	0	4	False		at least one zero cell (a, b, c, or d == 0)
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2821	1059	36	1009	0	14	False		at least one zero cell (a, b, c, or d == 0)
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2841	1077	184	820	5	68	True	3.0517073170731708	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC2899	1114	168	661	28	257	True	2.3328290468986386	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S02	581	408	163	3	7	True	5.840490797546012	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S05	2187	673	513	407	594	True	1.914651493598862	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S06	812	455	324	11	22	True	2.808641975308642	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S07	765	450	264	14	37	True	4.50487012987013	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.CRC_JSC_S10	1806	1295	366	40	105	True	9.287909836065573	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC035	815	100	376	0	339	False		at least one zero cell (a, b, c, or d == 0)
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC040	381	201	173	1	6	True	6.971098265895954	
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC043	717	169	533	0	15	False		at least one zero cell (a, b, c, or d == 0)
Joanito_2022_Nat_Genet||Joanito_2022_Nat_Genet.SC044	357	23	68	22	244	True	3.751336898395722	
Pelka_2021_Cell||Pelka_2021_Cell.C103	4339	11	177	9	4142	True	28.601381042059007	
Pelka_2021_Cell||Pelka_2021_Cell.C104	1496	9	120	56	1311	True	1.7558035714285714	
Pelka_2021_Cell||Pelka_2021_Cell.C105	1067	1	17	8	1041	True	7.654411764705882	
Pelka_2021_Cell||Pelka_2021_Cell.C106	764	5	38	7	714	True	13.421052631578947	
Pelka_2021_Cell||Pelka_2021_Cell.C107	1928	9	62	70	1787	True	3.7057603686635945	
Pelka_2021_Cell||Pelka_2021_Cell.C109	1383	0	28	0	1355	False		at least one zero cell (a, b, c, or d == 0)
Pelka_2021_Cell||Pelka_2021_Cell.C110	772	101	204	19	448	True	11.673890608875128	
Pelka_2021_Cell||Pelka_2021_Cell.C111	400	8	30	5	357	True	19.04	
Pelka_2021_Cell||Pelka_2021_Cell.C112	1467	1	18	6	1442	True	13.351851851851851	
Pelka_2021_Cell||Pelka_2021_Cell.C113	2511	20	82	166	2243	True	3.295621510431972	
Pelka_2021_Cell||Pelka_2021_Cell.C114	1282	5	50	22	1205	True	5.4772727272727275	
Pelka_2021_Cell||Pelka_2021_Cell.C115	505	5	10	13	477	True	18.346153846153847	
Pelka_2021_Cell||Pelka_2021_Cell.C116	368	1	10	3	354	True	11.8	
Pelka_2021_Cell||Pelka_2021_Cell.C118	1069	15	205	8	841	True	7.692073170731708	
Pelka_2021_Cell||Pelka_2021_Cell.C119	1005	3	43	27	932	True	2.408268733850129	
Pelka_2021_Cell||Pelka_2021_Cell.C122	1852	15	127	19	1691	True	10.511811023622048	
Pelka_2021_Cell||Pelka_2021_Cell.C123	3677	63	494	42	3078	True	9.346153846153847	
Pelka_2021_Cell||Pelka_2021_Cell.C124	768	8	90	4	666	True	14.8	
Pelka_2021_Cell||Pelka_2021_Cell.C125	1962	5	92	4	1861	True	25.285326086956523	
Pelka_2021_Cell||Pelka_2021_Cell.C126	588	8	62	12	506	True	5.440860215053763	
Pelka_2021_Cell||Pelka_2021_Cell.C129	2979	65	579	51	2284	True	5.027599986453994	
Pelka_2021_Cell||Pelka_2021_Cell.C130	2972	69	286	94	2523	True	6.475487278678768	
Pelka_2021_Cell||Pelka_2021_Cell.C132	1146	3	42	16	1085	True	4.84375	
Pelka_2021_Cell||Pelka_2021_Cell.C133	946	78	78	97	693	True	7.144329896907217	
Pelka_2021_Cell||Pelka_2021_Cell.C134	1128	1	7	0	1120	False		at least one zero cell (a, b, c, or d == 0)
Pelka_2021_Cell||Pelka_2021_Cell.C135	646	1	13	5	627	True	9.646153846153846	
Pelka_2021_Cell||Pelka_2021_Cell.C136	1131	1	23	2	1105	True	24.02173913043478	
Pelka_2021_Cell||Pelka_2021_Cell.C137	510	4	18	4	484	True	26.88888888888889	
Pelka_2021_Cell||Pelka_2021_Cell.C138	383	1	3	4	375	True	31.25	
Pelka_2021_Cell||Pelka_2021_Cell.C139	2467	15	62	83	2307	True	6.724640497473766	
Pelka_2021_Cell||Pelka_2021_Cell.C140	2305	1	20	6	2278	True	18.983333333333334	
Pelka_2021_Cell||Pelka_2021_Cell.C142	1100	4	116	48	932	True	0.6695402298850575	
Pelka_2021_Cell||Pelka_2021_Cell.C143	988	3	38	18	929	True	4.074561403508772	
Pelka_2021_Cell||Pelka_2021_Cell.C144	720	6	120	3	591	True	9.85	
Pelka_2021_Cell||Pelka_2021_Cell.C145	2073	6	45	26	1996	True	10.235897435897435	
Pelka_2021_Cell||Pelka_2021_Cell.C146	1819	12	185	7	1615	True	14.965250965250965	
Pelka_2021_Cell||Pelka_2021_Cell.C147	1990	24	64	52	1850	True	13.341346153846153	
Pelka_2021_Cell||Pelka_2021_Cell.C149	893	2	42	1	848	True	40.38095238095238	
Pelka_2021_Cell||Pelka_2021_Cell.C150	1400	0	2	2	1396	False	0.0	at least one zero cell (a, b, c, or d == 0)
Pelka_2021_Cell||Pelka_2021_Cell.C151	321	17	21	12	271	True	18.28174603174603	
Pelka_2021_Cell||Pelka_2021_Cell.C152	945	6	87	5	847	True	11.682758620689656	
Pelka_2021_Cell||Pelka_2021_Cell.C153	2581	5	95	13	2468	True	9.991902834008098	
Pelka_2021_Cell||Pelka_2021_Cell.C154	1694	6	44	29	1615	True	7.594043887147335	
Pelka_2021_Cell||Pelka_2021_Cell.C155	1096	6	33	35	1022	True	5.3090909090909095	
Pelka_2021_Cell||Pelka_2021_Cell.C156	431	9	38	3	381	True	30.07894736842105	
Pelka_2021_Cell||Pelka_2021_Cell.C157	1811	4	90	38	1679	True	1.9637426900584796	
Pelka_2021_Cell||Pelka_2021_Cell.C158	575	9	8	9	549	True	68.625	
Pelka_2021_Cell||Pelka_2021_Cell.C159	697	7	5	23	662	True	40.29565217391304	
Pelka_2021_Cell||Pelka_2021_Cell.C160	1975	3	18	41	1913	True	7.776422764227642	
Pelka_2021_Cell||Pelka_2021_Cell.C161	2131	7	23	7	2094	True	91.04347826086956	
Pelka_2021_Cell||Pelka_2021_Cell.C162	6891	14	161	101	6615	True	5.695221696082652	
Pelka_2021_Cell||Pelka_2021_Cell.C163	1797	8	146	48	1595	True	1.8207762557077625	
Pelka_2021_Cell||Pelka_2021_Cell.C164	1419	9	108	19	1283	True	5.62719298245614	
Pelka_2021_Cell||Pelka_2021_Cell.C165	790	0	0	0	790	False		at least one zero cell (a, b, c, or d == 0)
Pelka_2021_Cell||Pelka_2021_Cell.C166	4425	9	1	30	4385	True	1315.5	
Pelka_2021_Cell||Pelka_2021_Cell.C168	686	22	27	41	596	True	11.844625112917797	
Pelka_2021_Cell||Pelka_2021_Cell.C169	546	17	7	138	384	True	6.75776397515528	
Pelka_2021_Cell||Pelka_2021_Cell.C170	3178	9	37	79	3053	True	9.400273691412933	
Pelka_2021_Cell||Pelka_2021_Cell.C171	3671	34	35	196	3406	True	16.881049562682215	
Pelka_2021_Cell||Pelka_2021_Cell.C172	328	0	1	9	318	False	0.0	at least one zero cell (a, b, c, or d == 0)
Pelka_2021_Cell||Pelka_2021_Cell.C173	747	1	3	40	703	True	5.858333333333333	
Qi_2022_Nat_Commun||Qi_2022_Nat_Commun.P1	432	8	54	33	337	True	1.5129068462401796	
Qi_2022_Nat_Commun||Qi_2022_Nat_Commun.P2	1045	21	99	32	893	True	5.919507575757576	
Qi_2022_Nat_Commun||Qi_2022_Nat_Commun.P3	2910	9	14	52	2835	True	35.04807692307692	
Qi_2022_Nat_Commun||Qi_2022_Nat_Commun.P4	1534	26	53	125	1330	True	5.219622641509434	
Qian_2020_Cell_Res||Qian_2020_Cell_Res.P31	2748	147	1043	27	1531	True	7.991797166293811	
Qian_2020_Cell_Res||Qian_2020_Cell_Res.P32	2364	2	23	9	2330	True	22.51207729468599	
Qian_2020_Cell_Res||Qian_2020_Cell_Res.P33	2194	42	151	109	1892	True	4.827996840634303	
Qian_2020_Cell_Res||Qian_2020_Cell_Res.P35	1609	11	16	28	1554	True	38.15625	
Qian_2020_Cell_Res||Qian_2020_Cell_Res.P38	355	0	1	8	346	False	0.0	at least one zero cell (a, b, c, or d == 0)
Sathe_2023_Clin_Cancer_Res||Sathe_2023_Clin_Cancer_Res.P5915	1138	0	1	0	1137	False		at least one zero cell (a, b, c, or d == 0)
Sathe_2023_Clin_Cancer_Res||Sathe_2023_Clin_Cancer_Res.P6198	5333	2	1	395	4935	True	24.9873417721519	
Terekhanova_2023_Nature||Terekhanova_2023_Nature.HTA12_101	2931	7	159	10	2755	True	12.128930817610064	
Terekhanova_2023_Nature||Terekhanova_2023_Nature.HTA12_102	2261	2	36	6	2217	True	20.52777777777778	
Terekhanova_2023_Nature||Terekhanova_2023_Nature.HTA12_107	1507	0	3	1	1503	False	0.0	at least one zero cell (a, b, c, or d == 0)
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P02	823	2	40	3	778	True	12.966666666666667	
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P07	502	2	155	0	345	False		at least one zero cell (a, b, c, or d == 0)
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P10	3144	30	50	32	3032	True	56.85	
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P11	5234	155	653	16	4410	True	65.4240045941807	
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P12	2625	176	223	113	2113	True	14.758045954204531	
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P13	1461	192	56	242	971	True	13.756788665879576	
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P18	1431	274	329	52	776	True	12.428337619826982	
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P19	729	0	0	3	726	False		at least one zero cell (a, b, c, or d == 0)
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P20	5439	37	328	18	5056	True	31.685636856368564	
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P21	5400	383	429	298	4290	True	12.85234899328859	
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P23	431	10	12	22	387	True	14.659090909090908	
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P24	16864	761	1093	923	14087	True	10.626281299592899	
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P27	8019	13	231	1	7774	True	437.4978354978355	
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P28	7689	23	122	13	7531	True	109.21374527112232	
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P29	1264	20	18	307	919	True	3.32609482446616	
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P33	10479	0	243	0	10236	False		at least one zero cell (a, b, c, or d == 0)
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P34	3817	11	5	82	3719	True	99.77804878048781	
Tian_2023_Nat_Med||Tian_2023_Nat_Med.P36	1498	0	11	0	1487	False		at least one zero cell (a, b, c, or d == 0)
Wang_2023_Sci_Adv||Wang_2023_Sci_Adv.P0107	1394	225	43	336	790	True	12.302740863787376	
Wang_2023_Sci_Adv||Wang_2023_Sci_Adv.P0813	4675	181	155	568	3771	True	7.752737392094502	
Wang_2023_Sci_Adv||Wang_2023_Sci_Adv.P0920	16221	12	30	221	15958	True	28.883257918552037	
Wang_2023_Sci_Adv||Wang_2023_Sci_Adv.P1231	369	8	5	41	315	True	12.292682926829269	
