gene	logFC	logCPM	F	PValue	FDR
NUDT8	0.373779877142404	3.87740709393813	2.2623411242365	0.146702952542255	0.200684609804529
CAV2	0.500455472785122	5.9322623555423	2.25905478452172	0.146757211785467	0.200742603783517
PTPA	0.182791556335342	4.95220714119448	2.25541862239594	0.147023466731134	0.201090544351177
PCNX3	0.214492618220841	3.40487683174478	2.25040514212469	0.147133648818284	0.201224978122751
C17orf49	0.318330583217925	3.06256154472921	2.23928450515784	0.147411792987735	0.201589082246968
HIST1H2AJ	0.535562427332359	0.471998600070199	2.22505071550189	0.147521555224606	0.201722879887264
USP12	-0.292058873836325	4.54417222230039	2.23837967977777	0.147608539266895	0.201825511221643
RABEPK	0.229280383532293	4.27834881466188	2.24596604787545	0.147620871356673	0.201826062422913
ING4	-0.22059791047141	4.37522368852127	2.24708407960218	0.147676357205972	0.201885608239159
ARPC5	0.205323605378744	8.37106721846186	2.2589464508704	0.147751022874953	0.201971362690582
SLC5A3	-0.478809782581958	5.1319240922122	2.24746690672363	0.147858655039852	0.202102163889098
TUT1	0.291629089537316	2.49922522454552	2.25350298958136	0.147900357597486	0.202142834654807
GRAMD1C	0.966875139915381	4.3833158755865	2.25319903505108	0.14791503298189	0.202146562441082
ZC3H6	-0.281482724779682	4.16301732424569	2.23671716609614	0.1480400526031	0.202301078264425
SPIDR	-0.206147109719304	6.28450359738757	2.23825757744537	0.148061234382923	0.202313683130728
CYB561A3	0.23894362286235	4.85392175493716	2.24373754883496	0.148135474365434	0.202398779842427
AC007292.2	-0.389999708367617	-1.33002884494561	2.24081100223684	0.148184188000638	0.202448988758301
RTL8C	-0.249201351626672	6.45410238747483	2.25087642939537	0.148206520919395	0.202463151185728
INSIG2	-0.282186438045011	4.50453748204185	2.2447152744366	0.148341196849259	0.202622951523261
ESS2	-0.259644612576086	3.27993845975837	2.23896188861629	0.148347449643515	0.202622951523261
HIST1H4B	-0.603580710826092	0.2751382457538	2.2396708712237	0.148379324613037	0.202650128602516
IKBKG	-0.23134979177061	4.2288232897104	2.2380618086857	0.148423947843435	0.202694710917998
ZNF224	-0.290626713458067	3.55265942670353	2.23882622337108	0.148487457862392	0.20276507664034
FXR1	0.183387207584576	6.34885530788809	2.2445714615075	0.148586044220104	0.202883325168262
PRR15	0.666597720285015	3.52219972690063	2.23964899828331	0.148739290886383	0.203076183223589
SVOPL	0.699426963833394	0.907991222824166	2.24642150009081	0.148982196041304	0.203391412476626
EIPR1	0.263270209321945	4.54719870482306	2.23085390325641	0.14902811268848	0.203437682634855
AC007620.2	-0.481674898877628	-1.04680864393205	2.22731162504183	0.149149636829953	0.203587148489389
AL442663.3	-0.431449598002564	-1.4006601157672	2.21640525663223	0.14930930151829	0.203788647336879
UBE2F	0.399102542019057	6.24773813382593	2.24083598867617	0.149330689600629	0.203801398511983
ISY1	0.269560677569053	4.69030867832634	2.22328607409561	0.149354218671099	0.203817069341533
TFAP4	0.228350350489311	2.76401292042715	2.23417290359611	0.149401392817613	0.203860946965673
BX323046.1	-0.628163637012945	-1.64602078096124	2.23429151325851	0.149410470026263	0.203860946965673
TMEM80	-0.360166493811076	3.91592785987976	2.23641850092492	0.149441477325955	0.203886811940797
C19orf25	0.224777686158091	4.86701160155714	2.22572615213647	0.149936088414805	0.204545128196266
MRPL36	-0.32160940077563	5.79325642823008	2.2209680932344	0.149997370877157	0.204612232352707
RERE	0.285757368465667	6.95494269511614	2.22125086928312	0.150131362135038	0.204778500158232
MED28	0.259697037508673	6.0726489445778	2.22207824689879	0.150269562736732	0.204950482220296
PAIP1	0.229721541187552	5.83583929949914	2.22349746306467	0.150397060262319	0.205107839962774
PMEPA1	-0.659466198396438	4.32719256391256	2.21614465221812	0.150460358381542	0.205177625812631
DOC2A	0.550096438177399	-0.813996168396516	2.22451496876996	0.150476227473378	0.205182728289981
AL691447.2	-0.408776615406701	0.0292270191381565	2.22813799920239	0.150671068437333	0.205431848407707
HSD17B7	-0.265257927863503	3.65725508720253	2.21352393505354	0.150737511202858	0.205505878488409
PADI4	-0.915990725307458	-0.466006192734327	2.20459030161263	0.15093368205298	0.205756745359308
HIST1H2AK	-0.510851052677536	-0.233775860552325	2.20042098321273	0.151030738594999	0.205872467474121
C3orf70	0.643860837727573	2.25869704876033	2.21097089261755	0.151136015961966	0.205999375981673
CWC27	0.239655432351709	5.19295837258602	2.20516240294052	0.151346748915863	0.206269989117729
RGS6	0.665874647094138	1.98470730203745	2.21649432287926	0.151402725485219	0.206329658677763
AIFM3	0.608179581462951	0.295550697221626	2.21118497215305	0.151557475870291	0.206523915451792
INO80D	-0.241319956789296	5.73043561726239	2.19785966529679	0.151638243874054	0.206605656756172
NUMA1	-0.298919573800113	5.21116824700229	2.20071172829301	0.151641884602999	0.206605656756172
RNASEH1-AS1	-0.369176533771395	2.79247204288947	2.19491682345432	0.15168122128326	0.206642610748972
NOP16	0.305739530800977	4.89581956997295	2.19951960077211	0.151858662672417	0.206867690318408
FZD10	0.753101905368172	0.214459520538118	2.18666929474148	0.152168129583631	0.207272569392597
AL136454.1	0.439013759440563	2.03150622124174	2.18829062396126	0.152462044720351	0.207656201467044
PRRC1	0.274950182934924	5.14602881790776	2.19065325768924	0.152515861224264	0.207709589603565
AL021453.1	0.367615094226087	1.75288847187611	2.17795794224769	0.152525795923795	0.207709589603565
ALKBH4	0.280561766050476	3.45535512200584	2.1914290839714	0.152582910401169	0.207769163781295
RPAP3	0.237176032182284	4.13633001303885	2.18678694964027	0.152604005218577	0.207769163781295
NRAV	-0.334732403958637	1.79572076934647	2.1890614398773	0.152609822412644	0.207769163781295
ZPR1	-0.251353302489019	5.13240851298009	2.1914134649981	0.152618663483299	0.207769163781295
PSTK	-0.272963698373876	2.48270202785551	2.18524199067894	0.152702446510178	0.207866497104006
AMIGO1	-0.518813862205481	-0.585917183616726	2.20073563741435	0.152770778287633	0.207936754115757
SRP14	-0.268994742516347	9.3498405472552	2.2011861058324	0.152778638832849	0.207936754115757
POLR1B	-0.273310115305952	2.08519215362743	2.18373642440041	0.153139605890831	0.208411276710664
