gene	logFC	logCPM	F	PValue	FDR
PDE6B	6.99670451894846	2.39542753801234	89.035176896621	1.66701834365711e-06	0.000474563391526522
GPX7	5.00621558243797	2.60089500790054	126.932439287836	1.74995293144273e-06	0.000488512456786239
BEND7	-4.73799621451361	4.12669438427052	143.214413989057	1.82119885888757e-06	0.000488512456786239
ADGRL2	6.38944031963537	3.34562912035247	103.082791760215	1.86767232678063e-06	0.000488512456786239
AMHR2	7.65116629868087	2.99315333470362	87.0726872795024	1.86885249102542e-06	0.000488512456786239
REN	5.83879613312998	2.1485553952329	97.3502512612982	1.87779363658701e-06	0.000488512456786239
CKMT1B	-4.3447359846939	3.53556657833495	141.783073289246	1.89575050317893e-06	0.000488512456786239
IGF2BP3	6.84093401438288	3.87440643419203	103.026121508037	1.91961313097712e-06	0.000488512456786239
OBSCN	4.16197132240116	3.81275964165881	140.88880594115	1.99816495002785e-06	0.000495609765241274
NNAT	5.56273865983946	1.31690729282362	85.7232050779294	2.0065172681833e-06	0.000495609765241274
SCPEP1	3.04905460721223	6.35655735517045	136.419516040004	2.19700198125358e-06	0.000520168921616974
GJA1	5.21589318933539	2.68532265271745	119.440758729476	2.21347973499292e-06	0.000520168921616974
EVA1C	-5.9725312371256	2.56367754637317	136.681625828098	2.23118987418979e-06	0.000520168921616974
NAALADL1	-4.79477700932392	5.45253616641038	135.85671950804	2.23209866810865e-06	0.000520168921616974
PNCK	5.3302867291138	5.16255209944664	136.534369759745	2.26079609895446e-06	0.000520168921616974
SULT1C4	6.77271880005276	0.655447381983721	90.7723976028607	2.31004663581468e-06	0.000524318152637072
MYH10	5.34253738909262	3.61842897244307	127.360872074398	2.34532593679591e-06	0.000525227925792321
AKR1C3	-6.51573257399343	7.66405676656034	133.538333672453	2.38595279456144e-06	0.000527295567598078
AFM	6.46538710136617	0.502838374061645	92.4446162464982	2.50663057335318e-06	0.000542928029017455
PHGDH	5.58753723587921	5.47105594862295	132.58393230612	2.5333826842821e-06	0.000542928029017455
GGT6	-4.88158238641739	4.95259409284498	131.232474685858	2.55366243703138e-06	0.000542928029017455
IGLV2-14	-7.46809532070402	2.04062877756494	111.564702549775	2.6677769823478e-06	0.000560099777443921
GSTM1	-7.89212900471507	4.6374268988634	129.930609806375	2.71611959334945e-06	0.000563209193702437
TRIM63	5.45741873081653	2.44352681670704	96.1530862018693	2.76678393267578e-06	0.000566718328453931
SCD5	4.91278057484859	4.21606151320689	128.427288667712	2.84402694815266e-06	0.000575521405074362
CDH6	5.19681149909707	1.15626731296363	80.8027877786886	2.88642607502329e-06	0.000577147766143942
TRIM36	-5.35919649212514	3.70545317926458	126.611526374965	2.95173378871015e-06	0.000583262596649126
C16orf74	5.80672321124936	1.50732873448302	78.6731114010083	3.02309383429886e-06	0.000590028804865244
PPP1R3C	8.26581952573131	4.56333977983512	88.6750475211849	3.05623398566779e-06	0.000590028804865244
SCIN	-6.5302150055073	5.41402416913121	124.741305539265	3.11450979886528e-06	0.000594446665701605
DIO3OS	6.09378939272694	3.5147521767221	101.84503948998	3.32142270041224e-06	0.000626815906473302
MCOLN3	2.84353827085857	4.52388914504451	122.33444685113	3.36581965228063e-06	0.000628136743107839
SLC7A4	6.42533275512946	4.1262199393617	110.590188939947	3.49000209788018e-06	0.000640928114981854
AK8	6.44250459346084	1.0186133148938	78.7142060095481	3.51068031545193e-06	0.000640928114981854
AC011139.1	6.46667702421122	4.42054081404259	113.7284997666	3.55705470151193e-06	0.000642411728673057
KEL	8.62020515411879	3.86010469242553	75.8984496663399	3.69818225941132e-06	0.000658274391248806
ACSS2	-3.59888171764486	5.95312184227734	118.886510733439	3.73782001686715e-06	0.000658274391248806
OLFM3	10.9919710721951	3.36527353627097	144.633891101536	3.76246377470144e-06	0.000658274391248806
SALL4	7.74080029965614	0.849692111560465	91.652934709537	4.05355453682446e-06	0.000701891773201069
PACSIN3	5.01317832178496	4.02638644841147	115.760749700833	4.13250818964743e-06	0.000708261301564471
HBG2	9.04123578355227	2.32458003210981	143.007190943246	4.42713514253967e-06	0.000751092543980771
KRT20	-4.83223184557979	8.47314734065413	113.400461024351	4.48253491003439e-06	0.000751166957969966
COL6A1	4.91848500152923	5.16232160488744	113.621133503093	4.55351374447245e-06	0.000751166957969966
LYZ	-4.83154367581615	7.65162586126646	112.830213082298	4.57015948012018e-06	0.000751166957969966
