gene	logFC	logCPM	F	PValue	FDR
AMOTL1	8.51427467469181	1.3041322435643	154.244071183636	4.61078794591695e-09	2.4825118271568e-06
ERICH4	8.80968154570784	4.27127012954141	269.062035890147	5.93513081424311e-09	3.04055841789911e-06
MFAP2	8.126917008305	5.19843335227177	430.194957750188	6.03671775040812e-09	3.04055841789911e-06
WSCD2	7.42391214122929	0.422465860550369	144.078508682169	7.07881083935903e-09	3.45401726392974e-06
IGSF1	8.67916836836553	2.42817847062397	165.996873760355	7.85281334181468e-09	3.71557053088165e-06
PHYHIPL	8.18161474530699	2.42741395207887	166.964984997602	8.1977857077093e-09	3.7494256132039e-06
COL18A1	6.37512760229392	1.49920992971466	264.969899086292	8.4438503605748e-09	3.7494256132039e-06
ENPP7	10.597721214232	4.90532045919265	174.435392692043	8.78673411091367e-09	3.7494256132039e-06
RHBG	6.00921628018186	0.557787194563756	154.467513663206	8.88489481801871e-09	3.7494256132039e-06
NPC1L1	6.83183003519201	1.8158544566253	162.635348670735	9.38644416042531e-09	3.85684050318107e-06
MUM1L1	7.28510740711141	3.00040020114823	287.403964824	1.15121946564153e-08	4.60810909103293e-06
CYP2W1	8.55012279048837	7.36209181026125	372.330773888873	1.18050700423541e-08	4.60810909103293e-06
NNAT	7.97271852240924	2.82326548201134	236.80932131965	1.23084858980993e-08	4.68743167836397e-06
PAH	7.03826410936048	1.60440166672026	130.876107410122	1.33620479335473e-08	4.96750039129542e-06
SLC28A1	7.49695210312832	1.29829680900354	130.004962956009	1.37079926079669e-08	4.97759526932082e-06
IGF2BP1	8.33183468452544	3.46435362633553	196.320115819374	1.47680237178193e-08	5.24063459840978e-06
RGN	8.07029443046692	3.93936726699775	225.805176589175	1.51995394825386e-08	5.27390243289685e-06
PDE6B	5.99831125894474	2.22139609146196	305.839191569796	1.74156516715422e-08	5.9114779391187e-06
FMO1	11.7561358120855	4.04155350334972	394.812787917883	1.83172623870809e-08	6.08522840238045e-06
LIFR	8.15967974734765	2.09637177383146	134.927354509783	2.20449125668034e-08	7.02636348521891e-06
MYBPHL	7.7114516182859	1.78529598711543	140.565257085778	2.20745245373411e-08	7.02636348521891e-06
UPK3A	7.54946090195111	5.40106375969508	303.55342885766	2.25002032958208e-08	7.02636348521891e-06
REEP6	5.16777856631416	5.7927323100347	314.440244273757	2.40902770789854e-08	7.37540365316231e-06
P2RY6	6.31972905736179	2.40124605968745	220.658596288956	2.81722176963641e-08	8.43861120339607e-06
FAM20A	5.50326557732269	0.835729236883305	193.760026128741	2.86439345318299e-08	8.43861120339607e-06
FOLH1	9.63076682232239	4.99546158005189	204.512938915562	2.9556161457159e-08	8.54610935170521e-06
S100A9	5.6834186487584	4.20029644433848	297.001411329183	3.28938328240381e-08	9.33826010390056e-06
GJA1	5.48718404665005	1.90725249278529	130.214930230716	3.53365039951298e-08	9.85257452464209e-06
LAMA4	5.47123871705204	-0.190104656491966	156.102099429418	3.61151336908689e-08	9.89301223595136e-06
ADORA2A-AS1	6.38057842258013	0.92118055141109	120.758350996997	4.33748427698673e-08	1.16498955880027e-05
SIGLEC11	8.42419643110737	2.62263196411645	113.669108359025	4.40209965218497e-08	1.16498955880027e-05
COL14A1	5.81163929736404	1.78371963201759	189.561243270522	4.627770166763e-08	1.20430005639729e-05
C2orf74	5.71154085943187	1.16741074499322	182.861479773892	4.92630650775497e-08	1.24958555431017e-05
PLPP2	-6.25684013020265	6.04224517117722	266.145929225304	4.98057611377863e-08	1.24958555431017e-05
