dataset	marker	ensembl_id	group	n_cells	mean_log1p_expr	status
CRLM_NMP_ATLAS	KRT19	ENSG00000171345	mast cell	95	0.1446419209241867	ok
CRLM_NMP_ATLAS	KRT19	ENSG00000171345	mononuclear phagocyte	11122	0.015183323994278908	ok
CRLM_NMP_ATLAS	KRT19	ENSG00000171345	endothelial cell	1025	0.0077827549539506435	ok
CRLM_NMP_ATLAS	KRT19	ENSG00000171345	hepatocyte	209	0.5401758551597595	ok
CRLM_NMP_ATLAS	KRT19	ENSG00000171345	B cell	1440	0.020654845982789993	ok
CRLM_NMP_ATLAS	KRT19	ENSG00000171345	natural killer cell	12371	0.012521356344223022	ok
CRLM_NMP_ATLAS	KRT19	ENSG00000171345	neutrophil	16769	0.028125392273068428	ok
CRLM_NMP_ATLAS	KRT19	ENSG00000171345	plasmacytoid dendritic cell	146	0.004631434101611376	ok
CRLM_NMP_ATLAS	KRT19	ENSG00000171345	plasma cell	454	0.05575745180249214	ok
CRLM_NMP_ATLAS	KRT19	ENSG00000171345	conventional dendritic cell	1249	0.01278962753713131	ok
CRLM_NMP_ATLAS	KRT19	ENSG00000171345	malignant cell	4051	1.081630825996399	ok
CRLM_NMP_ATLAS	KRT19	ENSG00000171345	cholangiocyte	524	1.2455706596374512	ok
CRLM_NMP_ATLAS	PTPRC	ENSG00000081237	fibroblast	321	0.24102196097373962	ok
CRLM_NMP_ATLAS	PTPRC	ENSG00000081237	T cell	25328	3.149197816848755	ok
CRLM_NMP_ATLAS	PTPRC	ENSG00000081237	mast cell	95	1.7894799709320068	ok
CRLM_NMP_ATLAS	PTPRC	ENSG00000081237	mononuclear phagocyte	11122	2.2807936668395996	ok
CRLM_NMP_ATLAS	PTPRC	ENSG00000081237	endothelial cell	1025	0.24579711258411407	ok
CRLM_NMP_ATLAS	PTPRC	ENSG00000081237	hepatocyte	209	0.2421334683895111	ok
CRLM_NMP_ATLAS	PTPRC	ENSG00000081237	B cell	1440	2.51005220413208	ok
CRLM_NMP_ATLAS	PTPRC	ENSG00000081237	natural killer cell	12371	3.225822687149048	ok
CRLM_NMP_ATLAS	PTPRC	ENSG00000081237	neutrophil	16769	2.924177646636963	ok
CRLM_NMP_ATLAS	PTPRC	ENSG00000081237	plasmacytoid dendritic cell	146	1.9202605485916138	ok
CRLM_NMP_ATLAS	PTPRC	ENSG00000081237	plasma cell	454	0.7341257333755493	ok
CRLM_NMP_ATLAS	PTPRC	ENSG00000081237	conventional dendritic cell	1249	2.2602529525756836	ok
CRLM_NMP_ATLAS	PTPRC	ENSG00000081237	malignant cell	4051	0.16020208597183228	ok
CRLM_NMP_ATLAS	PTPRC	ENSG00000081237	cholangiocyte	524	0.10931229591369629	ok
