gene	T273_b16_Adr_PCW18	T318_b16_Adr_PCW21	T390_b16_Adr_PCW13	T40_b16_Adr_PCW17
ADGRV1	953	2439	50	574
ADH1A	0	0	0	0
ADH1B	8	7	2	11
ADH4	4	5	2	3
ADH5	117	179	13	117
ADH6	20	24	2	13
ADH7	3	8	2	4
ADI1	197	462	13	129
ADIPOQ	13	7	1	5
ADIPOR1	86	130	7	71
ADIPOR2	1916	3245	113	1155
ADIRF	0	5	0	0
ADIRF-AS1	3	1	0	4
ADK	1997	2775	228	1606
ADK-AS1	15	15	1	10
ADM	6	2	1	4
ADM5	1	0	0	0
ADNP	1071	1688	145	1230
ADNP-AS1	22	27	4	20
ADNP2	290	585	33	249
ADO	6	19	1	9
ADORA1	21	36	3	14
ADORA1-AS1	0	3	0	2
ADORA1-AS2	0	4	0	0
ADORA2A-AS1	25	40	5	23
ADORA2B	23	51	3	9
ADPGK	358	387	22	196
ADPGK-AS1	1	3	0	3
ADPRH	2	11	0	4
ADPRHL1	38	45	4	56
ADPRM	43	56	7	49
ADPRS	59	104	3	58
ADRA1A	17	30	3	23
ADRA1B	27	39	3	41
ADRA1D	9	17	1	8
ADRA2A	4	36	0	4
ADRA2B	7	0	0	1
ADRB2	1	0	0	3
ADRM1	34	56	4	37
ADSS1	1	26	2	12
ADSS2	675	1613	35	366
ADTRP	36	56	6	34
AEBP1	8	7	1	6
AEBP2	4359	7522	227	3671
AEN	38	55	5	21
AFAP1	280	567	92	273
AFAP1-AS1	8	6	0	3
AFAP1-AS2	22	25	0	11
AFAP1L1	97	171	32	136
AFAP1L2	69	113	30	96
AFDN	462	821	143	640
AFDN-DT	4	8	2	7
AFF1	2159	2445	133	1275
AFF2	1265	521	92	302
AFF3	443	761	248	949
AFF4	4034	9079	225	1883
AFG1L	369	651	56	482
AFG3L2	666	941	70	459
AFM	4	9	0	4
AFMID	52	87	11	71
AFP	3	9	2	3
AFTPH	456	482	38	359
AGA	30	24	1	25
AGA-DT	143	337	16	237
AGAP1	1774	4233	403	2928
AGAP2	6	5	7	11
AGAP3	231	1556	45	249
AGAP4	267	280	20	181
AGAP9	91	151	7	75
AGBL1	277	389	31	174
AGBL1-AS1	0	0	0	3
AGBL2	87	145	11	125
AGBL3	109	129	19	120
AGBL4	493	580	378	919
AGBL4-AS1	4	4	0	2
AGBL5	30	43	4	87
AGBL5-AS1	0	0	0	0
AGER	15	12	2	36
AGFG1	942	1341	101	917
AGFG2	83	108	6	91
AGGF1	20	11	1	32
AGK	292	370	41	354
AGK-DT	24	29	2	23
AGL	455	700	28	458
AGMAT	25	32	1	21
AGMO	85	133	12	69
AGO1	254	294	27	459
AGO2	1091	3720	146	882
AGO3	1141	1696	172	1261
AGO4	301	374	72	342
AGPAT1	47	47	4	42
AGPAT2	16	36	4	11
AGPAT3	592	1311	61	693
AGPAT4	345	442	67	539
AGPAT5	589	1144	38	381
AGPS	750	944	97	743
AGR2	15	19	4	13
AGR3	15	47	2	5
AGRN	14	46	4	21
AGRP	6	8	0	0
AGT	1	4	3	4
AGTPBP1	955	1148	210	677
AGTR1	165	308	28	444
AGTR2	4	2	0	5
AGTRAP	39	36	3	43
AGXT	3	1	0	0
AGXT2	6	19	3	9
AHCTF1	905	1339	59	684
AHCY	82	95	16	64
