gene	T273_b16_Adr_PCW18	T318_b16_Adr_PCW21	T390_b16_Adr_PCW13	T40_b16_Adr_PCW17
ENSG00000230649	14	17	1	5
ENSG00000230668	1	6	0	2
ENSG00000230676	15	22	1	10
ENSG00000230684	0	5	0	0
ENSG00000230690	0	3	0	2
ENSG00000230728	0	3	0	0
ENSG00000230730	42	27	3	9
ENSG00000230733	3	0	0	0
ENSG00000230735	9	5	0	6
ENSG00000230736	9	13	1	6
ENSG00000230746	14	30	0	16
ENSG00000230759	4	4	0	2
ENSG00000230773	160	256	19	145
ENSG00000230782	33	52	3	35
ENSG00000230790	0	3	0	1
ENSG00000230803	2	5	0	0
ENSG00000230805	7	29	2	7
ENSG00000230826	12	25	0	13
ENSG00000230848	12	14	1	5
ENSG00000230864	7	10	1	8
ENSG00000230894	5	3	0	2
ENSG00000230908	2	1	0	3
ENSG00000230912	0	2	0	0
ENSG00000230920	0	4	0	0
ENSG00000230928	3	5	2	5
ENSG00000230941	0	0	0	1
ENSG00000230960	5	12	1	4
ENSG00000230972	12	18	2	4
ENSG00000230975	37	72	4	23
ENSG00000230991	16	19	1	6
ENSG00000231024	2	7	0	6
ENSG00000231039	12	7	1	15
ENSG00000231073	0	0	0	1
ENSG00000231080	0	2	0	0
ENSG00000231081	1	0	0	0
ENSG00000231083	5	10	0	8
ENSG00000231092	0	0	0	2
ENSG00000231098	0	2	0	0
ENSG00000231104	8	10	2	13
ENSG00000231110	1	0	0	0
ENSG00000231114	0	0	0	0
ENSG00000231119	4	3	0	0
ENSG00000231128	16	30	1	19
ENSG00000231132	0	1	0	0
ENSG00000231143	4	5	1	3
ENSG00000231149	5	4	0	2
ENSG00000231178	5	6	0	5
ENSG00000231193	0	3	0	3
ENSG00000231201	24	26	1	18
ENSG00000231236	44	89	6	46
ENSG00000231252	77	139	25	133
ENSG00000231255	0	0	0	3
ENSG00000231297	8	9	0	1
ENSG00000231324	9	14	1	4
ENSG00000231329	2	4	0	4
ENSG00000231355	0	0	0	1
ENSG00000231358	9	11	0	8
ENSG00000231405	3	3	0	3
ENSG00000231413	0	3	0	2
ENSG00000231460	0	2	0	3
ENSG00000231482	34	53	13	41
ENSG00000231492	5	7	0	5
ENSG00000231505	3	4	0	3
ENSG00000231509	4	0	0	0
ENSG00000231519	0	3	0	2
ENSG00000231521	5	4	0	7
ENSG00000231533	55	96	11	39
ENSG00000231557	22	27	3	8
ENSG00000231563	37	96	6	73
ENSG00000231589	0	8	0	12
ENSG00000231606	32	63	2	30
ENSG00000231616	12	9	4	11
ENSG00000231662	5	12	0	3
ENSG00000231681	4	13	1	4
ENSG00000231698	11	32	4	10
ENSG00000231704	9	7	0	4
ENSG00000231705	4	36	0	4
ENSG00000231724	20	41	3	21
ENSG00000231731	51	87	4	52
ENSG00000231740	13	32	0	18
ENSG00000231756	0	2	0	0
ENSG00000231769	3	6	2	13
ENSG00000231772	73	122	5	47
ENSG00000231781	2	0	0	2
ENSG00000231794	3	6	2	7
ENSG00000231815	24	43	2	23
ENSG00000231829	36	28	1	24
ENSG00000231856	3	4	0	3
ENSG00000231863	23	36	3	20
ENSG00000231873	32	51	1	12
ENSG00000231876	6	8	1	4
ENSG00000231877	5	9	0	3
ENSG00000231881	2	23	0	5
ENSG00000231892	4	5	0	0
ENSG00000231901	1	2	0	3
ENSG00000231902	4	16	0	9
ENSG00000231912	12	22	0	21
ENSG00000231955	7	7	0	10
ENSG00000231964	3	5	0	4
ENSG00000231970	20	41	1	18
ENSG00000231985	4	2	0	3
ENSG00000231990	2	4	0	1
ENSG00000232006	61	97	6	52
ENSG00000232019	1	7	0	1
ENSG00000232043	2	7	0	1
ENSG00000232053	82	78	8	36
ENSG00000232058	19	20	2	17
ENSG00000232063	38	134	12	61
ENSG00000232072	28	60	4	37
ENSG00000232085	0	1	0	0
ENSG00000232120	8	8	1	8
ENSG00000232130	4	7	0	1
ENSG00000232153	43	70	6	42
ENSG00000232188	3	4	0	1
ENSG00000232211	18	27	3	8
ENSG00000232234	19	36	3	14
ENSG00000232245	3	3	0	6
ENSG00000232252	20	36	1	12
ENSG00000232271	22	41	1	20
ENSG00000232290	3	5	0	3
ENSG00000232294	9	12	1	9
ENSG00000232295	13	30	3	22
ENSG00000232306	2	4	0	5
ENSG00000232325	0	1	0	0
ENSG00000232328	12	18	1	9
ENSG00000232347	17	34	0	25
ENSG00000232353	1	6	0	2
ENSG00000232358	3	3	0	0
ENSG00000232359	56	95	0	22
ENSG00000232360	2	4	0	0
ENSG00000232363	5	3	1	3
ENSG00000232408	3	8	0	2
ENSG00000232413	13	41	2	10
ENSG00000232451	39	48	3	37
ENSG00000232464	4	2	0	1
ENSG00000232465	0	4	0	1
ENSG00000232470	6	5	0	3
ENSG00000232494	2	3	0	4
ENSG00000232519	1	0	0	0
ENSG00000232537	39	70	6	45
ENSG00000232555	95	185	11	96
ENSG00000232557	0	2	0	1
ENSG00000232581	7	9	2	10
ENSG00000232590	3	12	1	2
ENSG00000232598	2	0	0	0
ENSG00000232604	0	2	0	0
ENSG00000232611	129	151	26	140
ENSG00000232628	3	0	0	2
ENSG00000232640	4	18	0	2
ENSG00000232642	0	3	0	0
ENSG00000232667	25	36	2	17
ENSG00000232680	1	11	0	0
ENSG00000232682	1	10	1	6
ENSG00000232692	10	12	0	3
ENSG00000232710	2	1	0	6
ENSG00000232719	0	0	0	0
ENSG00000232732	34	69	4	54
ENSG00000232748	4	13	0	9
ENSG00000232749	4	1	0	2
ENSG00000232754	12	21	1	15
ENSG00000232807	11	15	2	6
ENSG00000232811	9	7	0	6
ENSG00000232828	63	74	4	96
ENSG00000232876	4	0	0	0
ENSG00000232884	59	73	4	56
ENSG00000232895	14	25	0	11
ENSG00000232896	2	11	0	4
ENSG00000232900	4	7	1	10
ENSG00000232909	5	4	1	5
ENSG00000232930	18	30	1	17
ENSG00000232934	24	26	0	22
ENSG00000232969	0	1	0	0
ENSG00000232978	1	3	0	2
ENSG00000232993	0	1	0	2
ENSG00000233005	85	144	10	92
ENSG00000233017	0	1	0	0
ENSG00000233060	10	10	1	11
ENSG00000233064	14	30	1	24
ENSG00000233068	8	15	2	10
ENSG00000233081	0	1	0	0
ENSG00000233103	0	3	0	0
ENSG00000233138	0	0	0	0
ENSG00000233144	3	0	0	0
ENSG00000233178	6	6	0	14
ENSG00000233183	6	7	2	1
ENSG00000233214	1	3	0	2
ENSG00000233219	3	2	0	2
ENSG00000233230	6	15	1	14
ENSG00000233242	0	5	0	1
ENSG00000233251	9	14	2	6
ENSG00000233256	0	3	0	0
ENSG00000233271	2	4	0	0
ENSG00000233288	2	3	0	1
ENSG00000233290	203	279	27	180
ENSG00000233330	3	2	0	0
ENSG00000233339	1	3	0	1
ENSG00000233340	4	9	0	3
ENSG00000233342	0	2	0	0
ENSG00000233358	135	211	21	115
ENSG00000233363	0	0	0	2
ENSG00000233365	6	8	0	1
ENSG00000233393	0	0	0	1
ENSG00000233403	2	6	0	2
ENSG00000233407	4	12	0	11
ENSG00000233415	4	4	0	3
ENSG00000233417	6	14	1	11
ENSG00000233420	65	87	3	58
ENSG00000233423	2	3	0	2
ENSG00000233427	0	2	0	2
ENSG00000233470	12	18	2	3
ENSG00000233472	2	5	0	2
ENSG00000233478	9	6	0	6
ENSG00000233535	13	17	1	9
ENSG00000233539	17	30	4	16
ENSG00000233542	0	0	5	3
ENSG00000233547	11	9	3	6
ENSG00000233553	20	37	0	7
ENSG00000233569	2	5	0	2
ENSG00000233571	40	76	0	44
ENSG00000233577	0	2	0	0
ENSG00000233625	0	1	0	0
ENSG00000233633	3	5	0	4
ENSG00000233635	133	159	9	66
ENSG00000233665	7	13	1	22
ENSG00000233689	18	18	0	16
ENSG00000233706	0	2	0	0
ENSG00000233735	0	3	0	2
ENSG00000233739	22	28	0	17
ENSG00000233755	4	9	1	10
ENSG00000233775	0	3	0	0
ENSG00000233783	45	42	6	35
ENSG00000233842	7	11	0	6
ENSG00000233845	0	1	0	1
ENSG00000233848	23	34	5	22
ENSG00000233849	0	0	0	2
ENSG00000233862	27	78	3	38
ENSG00000233875	0	0	0	2
ENSG00000233912	58	78	7	59
ENSG00000233920	2	8	1	4
ENSG00000233928	213	446	55	433
ENSG00000233942	5	2	0	1
ENSG00000233953	4	0	0	2
ENSG00000233960	2	4	0	2
ENSG00000233967	13	32	6	40
ENSG00000233969	1	4	0	1
ENSG00000234019	0	4	0	0
ENSG00000234021	1	8	3	8
ENSG00000234022	2	5	0	2
ENSG00000234026	30	15	2	29
ENSG00000234034	25	25	2	19
ENSG00000234050	0	0	0	1
ENSG00000234083	2	2	0	0
ENSG00000234084	7	5	0	4
ENSG00000234105	2	0	1	3
ENSG00000234132	0	0	0	1
ENSG00000234139	33	39	3	20
ENSG00000234147	131	218	18	141
ENSG00000234149	12	19	0	14
ENSG00000234156	61	87	4	46
ENSG00000234160	8	14	1	9
ENSG00000234162	43	61	0	40
ENSG00000234172	12	30	2	17
ENSG00000234173	51	81	3	48
ENSG00000234174	0	2	0	2
ENSG00000234185	59	60	5	51
ENSG00000234203	11	20	0	3
ENSG00000234210	10	11	0	10
ENSG00000234223	38	66	8	44
ENSG00000234238	15	24	1	15
ENSG00000234244	5	4	0	5
ENSG00000234255	11	23	1	9
ENSG00000234261	224	353	24	240
ENSG00000234273	12	24	1	9
ENSG00000234275	36	50	2	34
ENSG00000234352	108	218	21	126
ENSG00000234361	1	0	0	1
ENSG00000234378	18	33	4	16
ENSG00000234393	5	5	0	1
ENSG00000234396	5	17	0	22
ENSG00000234405	36	74	7	36
ENSG00000234418	19	24	3	28
ENSG00000234426	45	86	1	40
ENSG00000234427	5	7	0	1
ENSG00000234428	23	25	0	18
ENSG00000234446	7	18	2	4
ENSG00000234455	1	1	0	1
ENSG00000234459	0	4	0	1
ENSG00000234464	72	127	8	65
ENSG00000234477	36	59	1	37
ENSG00000234540	14	29	2	12
ENSG00000234542	5	5	1	4
ENSG00000234580	2	0	0	0
ENSG00000234584	9	11	0	17
ENSG00000234597	18	21	1	6
ENSG00000234630	0	0	0	1
ENSG00000234640	3	10	0	2
ENSG00000234647	4	3	0	1
ENSG00000234698	3	4	0	4
ENSG00000234699	5	2	0	2
ENSG00000234710	43	50	4	33
ENSG00000234712	0	0	0	0
ENSG00000234714	0	2	0	1
ENSG00000234730	10	15	0	5
ENSG00000234763	0	6	1	5
ENSG00000234793	3	3	0	2
ENSG00000234796	1	0	0	0
ENSG00000234810	114	170	49	160
ENSG00000234818	11	16	2	4
ENSG00000234826	3	21	0	6
ENSG00000234848	5	16	0	8
ENSG00000234859	9	12	0	9
ENSG00000234860	11	16	0	10
ENSG00000234892	0	3	0	0
ENSG00000234900	4	6	1	3
ENSG00000234902	14	42	1	9
ENSG00000234915	39	68	8	33
ENSG00000234917	2	2	0	7
ENSG00000234929	8	15	3	34
ENSG00000234936	4	7	0	11
ENSG00000234938	4	5	0	4
ENSG00000234943	0	0	0	4
ENSG00000234953	17	54	4	31
ENSG00000234998	61	76	5	74
ENSG00000235007	28	39	9	19
ENSG00000235021	0	0	0	3
ENSG00000235023	2	0	0	0
ENSG00000235038	7	14	0	6
ENSG00000235047	3	0	0	2
ENSG00000235056	18	17	3	18
ENSG00000235066	28	34	1	19
ENSG00000235070	1	3	0	2
ENSG00000235077	18	38	3	21
ENSG00000235078	7	9	1	18
ENSG00000235085	13	27	3	17
ENSG00000235091	2	4	0	2
ENSG00000235096	8	14	0	7
ENSG00000235099	5	5	3	6
ENSG00000235100	27	37	8	36
ENSG00000235119	5	18	0	5
ENSG00000235122	16	30	2	15
ENSG00000235126	0	1	0	1
ENSG00000235138	0	3	1	0
ENSG00000235140	36	65	0	32
ENSG00000235143	2	0	0	0
ENSG00000235152	16	18	0	11
ENSG00000235154	7	11	2	4
ENSG00000235158	16	35	2	8
ENSG00000235168	4	4	0	2
ENSG00000235189	44	66	4	47
ENSG00000235192	4	8	0	4
ENSG00000235198	0	0	0	3
ENSG00000235209	3	6	0	2
ENSG00000235215	2	4	0	4
ENSG00000235236	7	8	0	7
ENSG00000235277	13	14	0	6
ENSG00000235281	52	80	3	39
ENSG00000235288	12	34	3	12
ENSG00000235292	23	24	1	15
ENSG00000235296	4	14	1	5
ENSG00000235303	2	7	0	3
ENSG00000235356	16	18	3	15
ENSG00000235381	37	9	5	42
ENSG00000235403	0	1	0	2
ENSG00000235415	27	35	3	20
ENSG00000235419	21	23	3	18
ENSG00000235426	0	0	2	3
ENSG00000235431	13	30	1	26
ENSG00000235435	6	8	0	4
ENSG00000235450	159	308	32	142
ENSG00000235461	5	14	0	3
ENSG00000235494	7	12	2	4
ENSG00000235495	17	27	1	16
ENSG00000235533	2	7	0	4
ENSG00000235537	7	13	1	4
ENSG00000235538	15	49	0	12
ENSG00000235572	4	3	0	1
ENSG00000235575	7	13	1	9
ENSG00000235609	367	413	14	274
ENSG00000235612	0	2	0	0
ENSG00000235615	4	9	0	3
ENSG00000235637	0	1	0	0
ENSG00000235726	50	78	10	47
ENSG00000235743	8	12	0	6
ENSG00000235749	35	60	4	64
ENSG00000235774	5	15	0	4
ENSG00000235779	0	2	1	2
ENSG00000235806	2	0	0	5
ENSG00000235815	0	1	0	0
ENSG00000235819	18	14	6	19
ENSG00000235837	9	18	2	10
ENSG00000235840	0	3	0	0
ENSG00000235852	7	0	0	1
ENSG00000235872	5	6	0	1
ENSG00000235880	8	4	0	1
ENSG00000235881	0	3	0	0
ENSG00000235902	23	33	1	20
ENSG00000235939	6	26	4	15
ENSG00000235978	129	173	15	99
ENSG00000235979	295	393	30	215
ENSG00000236003	0	1	0	2
ENSG00000236009	0	1	0	0
ENSG00000236031	0	0	0	0
ENSG00000236064	31	35	3	26
ENSG00000236069	0	3	0	2
ENSG00000236098	1	1	0	0
ENSG00000236109	5	11	0	8
ENSG00000236115	0	0	0	0
ENSG00000236119	0	4	0	2
ENSG00000236141	2	0	0	0
ENSG00000236206	9	8	0	3
ENSG00000236209	2	6	0	20
ENSG00000236212	14	23	1	14
ENSG00000236230	167	170	7	67
ENSG00000236234	12	23	0	9
ENSG00000236255	28	52	3	14
ENSG00000236263	0	0	1	5
ENSG00000236266	17	63	1	17
ENSG00000236283	209	432	16	132
ENSG00000236299	0	3	0	0
ENSG00000236308	2	0	0	1
ENSG00000236332	15	31	2	12
ENSG00000236341	0	1	0	0
ENSG00000236347	6	2	1	2
ENSG00000236356	16	45	1	26
ENSG00000236358	13	8	2	16
ENSG00000236364	0	3	0	0
ENSG00000236366	52	69	6	26
ENSG00000236385	4	0	0	0
ENSG00000236414	0	0	0	1
ENSG00000236434	1	9	0	6
ENSG00000236449	85	89	11	62
ENSG00000236451	89	114	15	65
ENSG00000236453	22	35	2	27
ENSG00000236461	0	0	0	1
ENSG00000236469	3	17	3	10
ENSG00000236472	4	13	0	8
ENSG00000236494	1	3	0	2
ENSG00000236498	30	53	3	18
ENSG00000236501	19	34	4	28
ENSG00000236513	0	3	0	0
ENSG00000236528	5	3	0	6
ENSG00000236531	7	6	0	6
ENSG00000236536	7	11	0	20
ENSG00000236543	2	0	0	0
ENSG00000236601	23	28	0	21
ENSG00000236627	30	37	1	25
ENSG00000236643	1	4	0	0
ENSG00000236656	0	2	0	0
ENSG00000236673	0	0	0	3
ENSG00000236676	27	69	7	50
ENSG00000236723	10	15	2	12
ENSG00000236733	6	15	1	9
ENSG00000236754	8	5	0	9
ENSG00000236760	28	66	4	33
ENSG00000236772	2	2	0	3
ENSG00000236800	6	12	0	3
ENSG00000236817	20	16	2	9
ENSG00000236837	0	1	0	0
ENSG00000236842	0	0	0	3
ENSG00000236856	0	2	0	0
ENSG00000236864	0	5	0	1
ENSG00000236885	14	22	1	12
ENSG00000236892	4	11	0	2
ENSG00000236920	1	0	0	0
ENSG00000236921	1	5	0	3
ENSG00000236924	30	72	3	54
ENSG00000236935	10	31	2	17
ENSG00000236936	7	10	0	2
ENSG00000236938	0	2	0	0
ENSG00000236948	13	27	1	12
ENSG00000236951	2	0	0	0
ENSG00000236961	5	11	0	0
ENSG00000236986	43	48	5	42
ENSG00000236989	16	13	2	12
ENSG00000236990	11	16	0	9
ENSG00000237015	5	5	0	6
ENSG00000237019	22	26	1	47
ENSG00000237031	32	49	3	37
ENSG00000237063	3	0	0	0
ENSG00000237076	5	9	3	9
ENSG00000237101	4	5	0	4
ENSG00000237126	22	26	4	15
ENSG00000237153	77	121	3	78
ENSG00000237167	6	7	0	1
ENSG00000237188	82	83	14	163
ENSG00000237220	4	2	0	0
ENSG00000237234	12	20	2	9
ENSG00000237250	3	14	2	4
ENSG00000237271	2	2	0	0
ENSG00000237283	0	0	0	0
ENSG00000237301	76	91	4	65
ENSG00000237311	19	21	1	9
ENSG00000237312	25	42	1	21
ENSG00000237324	5	9	0	8
ENSG00000237326	0	1	0	2
ENSG00000237356	1730	3624	140	2865
ENSG00000237387	0	1	0	1
ENSG00000237390	1	4	0	0
ENSG00000237400	8	11	0	5
ENSG00000237414	3	1	0	2
ENSG00000237422	3	5	2	14
ENSG00000237429	5	5	0	2
ENSG00000237473	9	16	0	13
ENSG00000237477	3	23	0	2
ENSG00000237480	64	97	4	52
ENSG00000237481	9	10	2	20
ENSG00000237498	20	24	1	14
ENSG00000237525	33	53	3	35
ENSG00000237527	89	114	10	76
ENSG00000237529	12	12	1	8
ENSG00000237530	0	1	0	0
ENSG00000237532	1	0	0	0
ENSG00000237568	3	7	0	3
ENSG00000237612	5	8	0	4
ENSG00000237626	40	76	6	52
ENSG00000237633	4	8	1	6
ENSG00000237640	16	26	2	21
ENSG00000237713	5	4	1	1
ENSG00000237716	2	2	0	0
ENSG00000237718	0	1	0	0
ENSG00000237720	31	29	3	46
ENSG00000237734	3	1	0	5
ENSG00000237735	2	8	1	4
ENSG00000237760	6	8	0	3
ENSG00000237761	12	16	0	5
ENSG00000237768	35	58	3	36
ENSG00000237773	125	198	17	109
ENSG00000237843	5	12	0	5
ENSG00000237851	0	0	0	4
ENSG00000237874	0	0	1	3
ENSG00000237896	0	2	0	1
ENSG00000237899	18	33	2	27
ENSG00000237954	5	4	0	3
ENSG00000238009	17	9	0	3
ENSG00000238031	2	4	0	0
ENSG00000238034	6	12	1	2
ENSG00000238035	16	28	0	6
ENSG00000238043	4	10	0	1
ENSG00000238054	46	345	7	101
ENSG00000238140	4	5	0	5
ENSG00000238142	6	15	3	6
ENSG00000238156	2	5	0	4
ENSG00000238171	0	3	1	0
ENSG00000238176	6	11	0	7
ENSG00000238186	3	0	0	1
ENSG00000238207	17	19	2	17
ENSG00000238221	12	13	0	11
ENSG00000238258	4	3	0	4
ENSG00000238260	0	0	0	3
ENSG00000238272	7	9	0	0
ENSG00000238273	23	51	1	14
ENSG00000238280	28	43	6	31
ENSG00000238282	0	3	1	1
ENSG00000239300	12	29	3	24
ENSG00000239311	2	4	1	0
ENSG00000239381	46	71	4	36
ENSG00000239407	97	121	7	94
ENSG00000239462	37	57	6	67
ENSG00000239480	5	5	0	4
ENSG00000239482	277	714	77	1183
ENSG00000239498	53	77	11	144
ENSG00000239572	36	72	6	29
ENSG00000239628	5	6	1	4
ENSG00000239767	10	12	1	10
ENSG00000239791	16	22	9	30
ENSG00000239906	1	1	0	0
ENSG00000239920	162	319	11	216
ENSG00000239922	26	17	2	15
ENSG00000239994	0	3	0	0
ENSG00000240033	2	1	0	2
ENSG00000240040	25	35	2	13
ENSG00000240086	54	76	3	51
ENSG00000240093	1	11	1	3
ENSG00000240240	9	14	5	17
ENSG00000240241	6	5	0	3
ENSG00000240401	189	139	20	126
ENSG00000240478	10	17	2	10
ENSG00000240497	3	4	0	6
ENSG00000240499	148	173	11	119
ENSG00000240521	30	63	3	37
ENSG00000240553	94	107	11	91
ENSG00000240571	29	51	1	19
ENSG00000240687	18	46	1	29
ENSG00000240710	0	2	0	6
ENSG00000240792	2	6	0	5
ENSG00000240963	100	135	11	95
ENSG00000241048	5	8	0	4
ENSG00000241168	36	55	5	35
ENSG00000241169	9	18	2	6
ENSG00000241231	11	19	2	11
ENSG00000241324	2	5	0	2
ENSG00000241345	35	56	1	32
ENSG00000241357	11	7	2	8
ENSG00000241409	12	11	0	2
ENSG00000241449	36	28	4	21
ENSG00000241489	4	7	2	5
ENSG00000241490	0	2	0	1
ENSG00000241505	5	8	0	7
ENSG00000241525	3	6	0	0
ENSG00000241577	2	1	0	0
ENSG00000241593	20	30	5	9
ENSG00000241666	2	0	0	1
ENSG00000241679	4	5	5	17
ENSG00000241754	4	10	1	5
ENSG00000241770	13	16	0	10
ENSG00000241772	8	11	2	7
ENSG00000241792	0	4	0	3
ENSG00000241860	37	46	1	10
ENSG00000241882	1	0	0	1
ENSG00000241884	3	4	0	2
ENSG00000241921	6	27	2	9
ENSG00000241962	170	286	42	240
ENSG00000242009	62	48	1	35
ENSG00000242021	28	104	1	51
ENSG00000242029	29	30	1	19
ENSG00000242072	4	14	0	6
ENSG00000242078	2	9	0	5
ENSG00000242317	8	7	0	9
ENSG00000242375	8	22	2	8
ENSG00000242396	62	81	3	51
ENSG00000242539	12	16	1	15
ENSG00000242540	0	5	0	3
ENSG00000242545	4	5	0	6
ENSG00000242553	14	3	5	17
ENSG00000242578	3	6	0	5
ENSG00000242588	3832	4550	207	2712
ENSG00000242593	439	1622	60	1455
ENSG00000242628	16	7	3	3
ENSG00000242659	1	0	0	0
ENSG00000242753	11	21	1	9
ENSG00000242790	0	1	0	0
ENSG00000242798	15	19	2	21
ENSG00000242816	29	34	3	21
ENSG00000242828	7	8	0	10
ENSG00000242861	41	78	3	49
ENSG00000242880	100	230	26	126
ENSG00000243008	25	22	3	35
ENSG00000243018	3	12	0	6
ENSG00000243062	7	9	0	9
ENSG00000243081	4	5	0	2
ENSG00000243089	4	1	0	4
ENSG00000243155	36	29	10	33
ENSG00000243176	818	1100	34	685
ENSG00000243230	0	0	0	1
ENSG00000243243	0	2	0	0
ENSG00000243276	166	262	17	120
ENSG00000243305	61	81	4	46
ENSG00000243349	3	10	2	3
ENSG00000243384	0	0	0	0
ENSG00000243389	33	67	6	46
ENSG00000243415	13	17	1	8
ENSG00000243433	2	2	0	0
ENSG00000243486	14	23	2	11
ENSG00000243491	1	3	0	1
ENSG00000243501	13	28	3	19
ENSG00000243574	0	2	0	3
ENSG00000243613	8	5	0	6
ENSG00000243636	1	0	0	0
ENSG00000243696	0	2	0	10
ENSG00000243762	15	12	1	11
ENSG00000243797	173	602	13	129
ENSG00000243861	0	7	0	3
ENSG00000243944	43	84	3	70
ENSG00000243960	31	39	1	13
ENSG00000243969	9	22	0	10
ENSG00000244055	55	73	8	81
ENSG00000244063	0	0	0	0
ENSG00000244125	11	5	0	3
ENSG00000244151	0	8	0	4
ENSG00000244268	4	6	0	1
ENSG00000244278	4	0	0	3
ENSG00000244337	3	1	0	1
ENSG00000244345	27	23	2	27
ENSG00000244349	1	1	0	1
ENSG00000244358	5	7	0	2
ENSG00000244380	8	13	1	5
ENSG00000244459	1	3	0	0
ENSG00000244464	22	22	2	14
ENSG00000244545	0	0	0	0
ENSG00000244650	17	26	2	12
ENSG00000244675	0	4	0	0
ENSG00000244676	3	5	0	4
ENSG00000244701	18	15	6	29
ENSG00000244706	10	15	1	12
ENSG00000244733	5	14	0	6
ENSG00000244757	49	61	6	29
ENSG00000244953	2	4	0	1
ENSG00000245008	36	39	1	19
ENSG00000245156	5	7	0	4
ENSG00000245482	22	40	3	24
ENSG00000245667	2	0	0	0
ENSG00000245768	341	521	35	272
ENSG00000245869	0	2	0	0
ENSG00000246090	89	121	44	117
ENSG00000246225	83	208	15	233
ENSG00000246250	33	31	1	14
ENSG00000246308	11	10	1	9
ENSG00000246465	11	14	1	20
ENSG00000247011	5	15	0	7
ENSG00000247033	0	0	0	0
ENSG00000247121	98	218	21	141
ENSG00000247130	11	28	0	6
ENSG00000247134	158	104	13	153
ENSG00000247228	28	79	2	44
ENSG00000247311	12	14	0	7
ENSG00000247324	1	4	0	5
ENSG00000247372	1	17	1	11
ENSG00000247679	8	22	1	35
ENSG00000247765	8	11	0	9
ENSG00000247810	13	23	0	17
ENSG00000247925	115	177	12	146
ENSG00000247934	24	24	4	37
ENSG00000247970	14	11	6	26
ENSG00000248100	3	5	0	0
ENSG00000248103	1	4	0	4
ENSG00000248125	6	6	1	9
ENSG00000248145	1	10	0	5
ENSG00000248148	3	6	0	3
ENSG00000248165	7	9	0	9
ENSG00000248172	8	15	0	6
ENSG00000248176	8	15	0	10
ENSG00000248199	2	4	0	4
ENSG00000248203	6	3	0	0
ENSG00000248240	6	4	0	3
ENSG00000248242	69	104	10	266
ENSG00000248254	2	6	0	1
ENSG00000248261	1	0	0	0
ENSG00000248262	2	4	0	1
ENSG00000248285	3	9	0	2
ENSG00000248296	9	25	1	13
ENSG00000248317	10	7	0	3
ENSG00000248346	1	0	0	0
ENSG00000248356	8	12	2	5
ENSG00000248359	26	40	9	40
ENSG00000248363	0	0	0	0
ENSG00000248367	21	23	2	28
ENSG00000248369	2	4	0	2
ENSG00000248373	61	108	2	63
ENSG00000248428	3	4	0	3
ENSG00000248431	41	89	3	42
ENSG00000248434	9	1	0	6
ENSG00000248458	0	7	0	0
ENSG00000248468	10	9	0	12
ENSG00000248469	3	4	0	8
ENSG00000248482	3	4	0	0
ENSG00000248484	5	10	1	3
ENSG00000248490	1	8	1	9
ENSG00000248491	67	82	4	43
ENSG00000248514	4	3	0	0
ENSG00000248516	1	5	1	4
ENSG00000248525	0	4	0	0
ENSG00000248540	27	58	5	27
ENSG00000248545	78	100	6	45
ENSG00000248551	7	15	1	5
ENSG00000248559	9	12	2	9
ENSG00000248576	0	1	0	0
ENSG00000248588	0	0	0	1
ENSG00000248596	11	30	1	39
ENSG00000248601	19	38	3	17
ENSG00000248605	8	4	0	7
ENSG00000248646	25	27	4	22
ENSG00000248647	5	8	0	6
ENSG00000248656	52	95	7	43
ENSG00000248664	82	79	9	55
ENSG00000248733	0	3	0	0
ENSG00000248734	3	42	1	8
ENSG00000248736	3	2	0	0
ENSG00000248747	5	9	0	6
ENSG00000248751	0	2	0	0
ENSG00000248752	267	386	23	236
ENSG00000248758	5	9	0	6
ENSG00000248762	33	46	4	33
ENSG00000248774	2	3	2	9
ENSG00000248779	7	9	0	8
ENSG00000248783	2	3	0	1
ENSG00000248802	50	34	4	35
ENSG00000248816	13	24	2	8
ENSG00000248837	159	182	6	43
ENSG00000248912	6	4	0	7
ENSG00000248935	0	2	0	0
ENSG00000248939	8	16	1	10
ENSG00000248949	0	0	0	0
ENSG00000248954	5	3	0	3
ENSG00000248964	9	16	1	13
ENSG00000248968	3	0	0	4
ENSG00000248973	81	136	5	74
ENSG00000248975	8	7	0	10
ENSG00000248991	0	8	0	0
ENSG00000248993	6	15	1	6
ENSG00000248994	40	58	9	44
ENSG00000249000	45	68	4	36
ENSG00000249021	0	11	0	0
ENSG00000249022	4	8	0	9
ENSG00000249036	11	22	3	14
ENSG00000249061	84	132	5	60
ENSG00000249091	0	2	0	2
ENSG00000249094	5	3	0	3
ENSG00000249100	0	5	0	0
ENSG00000249102	3	0	0	2
ENSG00000249109	0	0	0	1
ENSG00000249111	5	7	0	1
ENSG00000249125	0	5	0	0
ENSG00000249141	7	18	1	17
ENSG00000249150	2	12	0	3
ENSG00000249169	1	0	0	0
ENSG00000249171	20	35	2	15
ENSG00000249174	23	49	1	19
ENSG00000249180	8	16	1	3
ENSG00000249184	1	6	3	8
ENSG00000249199	2	4	0	1
ENSG00000249209	182	318	33	180
ENSG00000249225	9	4	0	4
ENSG00000249234	3	2	0	0
ENSG00000249240	61	178	10	67
ENSG00000249258	77	101	5	98
ENSG00000249269	3	9	1	7
ENSG00000249275	2	4	0	2
ENSG00000249290	9	11	0	5
ENSG00000249295	9	29	1	8
