raw_mouse_symbol	canonical_mouse_symbol	resolution_method	mouse_ensembl_ids
Igf1R	Igf1r	case_insensitive	ENSMUSG00000005533
Igfbp3	Igfbp3	exact	ENSMUSG00000020427
Igfbp5	Igfbp5	exact	ENSMUSG00000026185
Igfbp7	Igfbp7	exact	ENSMUSG00000036256
Ighm	Ighm	exact	ENSMUSG00000076617
Igsf1	Igsf1	exact	ENSMUSG00000031111
Igtp	Igtp	exact	ENSMUSG00000078853
Iigp1	Iigp1	exact	ENSMUSG00000054072
Ikbkg	Ikbkg	exact	ENSMUSG00000004221
Il17Re	Il17re	case_insensitive	ENSMUSG00000043088
Il1A	Il1a	case_insensitive	ENSMUSG00000027399
Il1Rn	Il1rn	case_insensitive	ENSMUSG00000026981
Il24	Il24	exact	ENSMUSG00000026420
Il28Ra		not_found	
Il33	Il33	exact	ENSMUSG00000024810
Il34	Il34	exact	ENSMUSG00000031750
Il3Ra	Il3ra	case_insensitive	ENSMUSG00000068758
Il4Ra	Il4ra	case_insensitive	ENSMUSG00000030748
Il7	Il7	exact	ENSMUSG00000040329
Ildr1	Ildr1	exact	ENSMUSG00000022900
Ildr2	Ildr2	exact	ENSMUSG00000040612
Inf2	Inf2	exact	ENSMUSG00000037679
Inhba	Inhba	exact	ENSMUSG00000041324
Inpp5K	Inpp5k	case_insensitive	ENSMUSG00000006127
Insig2	Insig2	exact	ENSMUSG00000003721
Ip6K2	Ip6k2	case_insensitive	ENSMUSG00000032599
Ipo4	Ipo4	exact	ENSMUSG00000002319
Iqcb1	Iqcb1	exact	ENSMUSG00000022837
Iqce	Iqce	exact	ENSMUSG00000036555
Iqgap2	Iqgap2	exact	ENSMUSG00000021676
Irak1Bp1	Irak1bp1	case_insensitive	ENSMUSG00000032251
Irak2	Irak2	exact	ENSMUSG00000060477
Irf1	Irf1	exact	ENSMUSG00000018899
Irf2Bpl	Irf2bpl	case_insensitive	ENSMUSG00000034168
Irf6	Irf6	exact	ENSMUSG00000026638
Irf7	Irf7	exact	ENSMUSG00000025498
Irf9	Irf9	exact	ENSMUSG00000002325
Irgm1	Irgm1	exact	ENSMUSG00000046879
Irgm2	Irgm2	exact	ENSMUSG00000069874
Isg15	Isg15	exact	ENSMUSG00000035692
Isg20	Isg20	exact	ENSMUSG00000039236
Isx	Isx	exact	ENSMUSG00000031621
Itga2	Itga2	exact	ENSMUSG00000015533
Itga2B	Itga2b	case_insensitive	ENSMUSG00000034664
Itga3	Itga3	exact	ENSMUSG00000001507
Itga6	Itga6	exact	ENSMUSG00000027111
Itgav	Itgav	exact	ENSMUSG00000027087
Itgb1Bp1	Itgb1bp1	case_insensitive	ENSMUSG00000062352
Itgb4	Itgb4	exact	ENSMUSG00000020758
Itgb6	Itgb6	exact	ENSMUSG00000026971
Itm2B	Itm2b	case_insensitive	ENSMUSG00000022108
Itpr2	Itpr2	exact	ENSMUSG00000030287
Itpripl2	Itpripl2	exact	ENSMUSG00000095115
Ivl	Ivl	exact	ENSMUSG00000049128
Jag2	Jag2	exact	ENSMUSG00000002799
Jdp2	Jdp2	exact	ENSMUSG00000034271
Jkamp	Jkamp	exact	ENSMUSG00000005078
Jub		not_found	
Junb	Junb	exact	ENSMUSG00000052837
Jup	Jup	exact	ENSMUSG00000001552
Kank3	Kank3	exact	ENSMUSG00000042099
Kansl1L	Kansl1l	case_insensitive	ENSMUSG00000026004
Katnb1	Katnb1	exact	ENSMUSG00000031787
Kbtbd11	Kbtbd11	exact	ENSMUSG00000055675
Kbtbd3	Kbtbd3	exact	ENSMUSG00000025893
Kcnk1	Kcnk1	exact	ENSMUSG00000033998
Kcnn4	Kcnn4	exact	ENSMUSG00000054342
Kcp	Kcp	exact	ENSMUSG00000059022
Kctd1	Kctd1	exact	ENSMUSG00000036225
Kctd10	Kctd10	exact	ENSMUSG00000001098
Kctd11	Kctd11	exact	ENSMUSG00000046731
Kctd17	Kctd17	exact	ENSMUSG00000033287
Kctd21	Kctd21	exact	ENSMUSG00000044952
Kdm5A	Kdm5a	case_insensitive	ENSMUSG00000030180
Khdc1A	Khdc1a	case_insensitive	ENSMUSG00000067750
Kif12	Kif12	exact	ENSMUSG00000028357
Kif1A	Kif1a	case_insensitive	ENSMUSG00000014602
Kif20B	Kif20b	case_insensitive	ENSMUSG00000024795
Kif3A	Kif3a	case_insensitive	ENSMUSG00000018395
Kif3C	Kif3c	case_insensitive	ENSMUSG00000020668
Kif9	Kif9	exact	ENSMUSG00000032489
Kifap3	Kifap3	exact	ENSMUSG00000026585
Kifc3	Kifc3	exact	ENSMUSG00000031788
Kirrel		not_found	
Klc3	Klc3	exact	ENSMUSG00000040714
Klf4	Klf4	exact	ENSMUSG00000003032
Klf6	Klf6	exact	ENSMUSG00000000078
Klhl13	Klhl13	exact	ENSMUSG00000036782
Klrg2	Klrg2	exact	ENSMUSG00000071537
Krba1	Krba1	exact	ENSMUSG00000042810
Krt13	Krt13	exact	ENSMUSG00000044041
Krt14	Krt14	exact	ENSMUSG00000045545
Krt15	Krt15	exact	ENSMUSG00000054146
Krt16	Krt16	exact	ENSMUSG00000053797
Krt17	Krt17	exact	ENSMUSG00000035557
Krt18	Krt18	exact	ENSMUSG00000023043
Krt19	Krt19	exact	ENSMUSG00000020911
Krt20	Krt20	exact	ENSMUSG00000035775
Krt23	Krt23	exact	ENSMUSG00000006777
Krt4	Krt4	exact	ENSMUSG00000059668
Krt6A	Krt6a	case_insensitive	ENSMUSG00000058354
Krt7	Krt7	exact	ENSMUSG00000023039
Krt80	Krt80	exact	ENSMUSG00000037185
Krt9	Krt9	exact	ENSMUSG00000051617
Ktn1	Ktn1	exact	ENSMUSG00000021843
