	A26 (386C)	A30 (398B)	A32 (411C)	A33 (414C)	A34 (417C)	A38 (432C)	A39 (440C)	F66	F67	F72	F73	F78
KCTD18	174.0	116.0	165.0	203.0	209.0	309.0	56.0	68.0	33.0	29.0	171.0	76.0
SGO2	98.0	78.0	201.0	801.0	143.0	214.0	19.0	31.0	46.0	37.0	222.0	64.0
AOX1	4.0	2.0	2.0	40.0	7.0	2.0	2.0	4.0	0.0	4.0	18.0	5.0
LINC01792	3.0	0.0	1.0	3.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
AC007163.1	7.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
BZW1	2983.0	1487.0	1972.0	5387.0	4104.0	3991.0	938.0	688.0	479.0	296.0	1842.0	432.0
CLK1	2753.0	1088.0	518.0	5614.0	1411.0	1326.0	1220.0	751.0	252.0	367.0	2103.0	313.0
PPIL3	353.0	208.0	197.0	473.0	374.0	625.0	108.0	282.0	105.0	53.0	626.0	121.0
NIF3L1	379.0	229.0	324.0	424.0	321.0	721.0	124.0	78.0	61.0	62.0	560.0	135.0
ORC2	489.0	182.0	478.0	1062.0	630.0	499.0	172.0	94.0	106.0	60.0	360.0	123.0
AC005037.1	78.0	11.0	71.0	76.0	48.0	96.0	33.0	5.0	8.0	15.0	103.0	43.0
FAM126B	1192.0	396.0	434.0	1070.0	1398.0	827.0	446.0	127.0	55.0	35.0	269.0	83.0
NDUFB3	9337.0	6168.0	5268.0	8797.0	6637.0	9592.0	3112.0	912.0	568.0	392.0	4578.0	1043.0
AC007272.1	0.0	3.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0
CFLAR	3367.0	1067.0	1598.0	2358.0	3069.0	2793.0	1097.0	314.0	136.0	218.0	1110.0	377.0
CFLAR-AS1	275.0	26.0	37.0	123.0	92.0	59.0	54.0	3.0	2.0	3.0	21.0	3.0
CASP10	1120.0	313.0	160.0	1106.0	672.0	505.0	302.0	23.0	7.0	21.0	66.0	66.0
CASP8	1208.0	314.0	388.0	853.0	528.0	771.0	202.0	113.0	52.0	41.0	336.0	168.0
ALS2CR12	23.0	4.0	7.0	5.0	16.0	11.0	8.0	1.0	0.0	0.0	1.0	1.0
TRAK2	585.0	394.0	863.0	1213.0	1259.0	1203.0	306.0	80.0	30.0	37.0	301.0	145.0
STRADB	1180.0	547.0	441.0	986.0	792.0	1455.0	432.0	153.0	64.0	86.0	492.0	359.0
C2CD6	5.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0
TMEM237	67.0	44.0	94.0	257.0	75.0	86.0	15.0	29.0	36.0	15.0	157.0	38.0
MPP4	2.0	1.0	1.0	39.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0
ALS2	129.0	29.0	78.0	102.0	153.0	98.0	35.0	22.0	15.0	23.0	111.0	156.0
CDK15	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
AC069148.1	5.0	5.0	21.0	17.0	18.0	23.0	7.0	3.0	1.0	2.0	24.0	19.0
FZD7	316.0	84.0	61.0	177.0	97.0	127.0	14.0	21.0	18.0	24.0	79.0	98.0
KIAA2012	7.0	1.0	1.0	23.0	14.0	6.0	1.0	0.0	0.0	0.0	3.0	1.0
AC079354.1	0.0	3.0	0.0	11.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
AC079354.3	0.0	4.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SUMO1	2870.0	2124.0	2286.0	7139.0	2614.0	4436.0	1429.0	956.0	832.0	366.0	3521.0	802.0
NOP58	1056.0	759.0	2407.0	5996.0	2652.0	2211.0	606.0	273.0	288.0	210.0	2155.0	539.0
AC064836.2	2.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
AC064836.3	25.0	16.0	25.0	50.0	22.0	22.0	3.0	24.0	1.0	2.0	11.0	6.0
BMPR2	583.0	228.0	445.0	900.0	604.0	544.0	93.0	95.0	41.0	37.0	266.0	96.0
FAM117B	265.0	119.0	276.0	501.0	230.0	272.0	64.0	113.0	35.0	30.0	202.0	63.0
ICA1L	19.0	14.0	45.0	118.0	20.0	89.0	4.0	21.0	10.0	4.0	16.0	6.0
WDR12	294.0	302.0	646.0	1266.0	694.0	850.0	114.0	134.0	166.0	119.0	831.0	351.0
CARF	101.0	88.0	90.0	226.0	118.0	146.0	34.0	32.0	20.0	5.0	74.0	49.0
NBEAL1	3175.0	1372.0	1732.0	4592.0	3242.0	3623.0	812.0	263.0	213.0	170.0	1461.0	371.0
CYP20A1	886.0	257.0	476.0	821.0	551.0	708.0	186.0	75.0	47.0	49.0	315.0	170.0
ABI2	246.0	141.0	367.0	838.0	418.0	324.0	118.0	154.0	80.0	47.0	361.0	93.0
AC080075.1	3.0	0.0	1.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
RAPH1	963.0	234.0	430.0	720.0	814.0	642.0	377.0	79.0	33.0	71.0	273.0	151.0
CD28	3.0	0.0	1.0	21.0	5.0	6.0	0.0	2.0	0.0	0.0	3.0	0.0
CTLA4	3.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ICOS	7.0	0.0	2.0	14.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
AC009965.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC009498.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC016903.1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
AC016903.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PARD3B	660.0	171.0	317.0	337.0	390.0	513.0	166.0	46.0	36.0	41.0	219.0	85.0
NRP2	9.0	4.0	12.0	104.0	41.0	29.0	2.0	28.0	13.0	21.0	37.0	14.0
AC007362.1	1.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AC007679.1	11.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INO80D	1143.0	243.0	646.0	1205.0	855.0	840.0	194.0	123.0	95.0	107.0	487.0	196.0
AC007383.2	235.0	17.0	95.0	43.0	112.0	229.0	44.0	20.0	45.0	75.0	320.0	124.0
NDUFS1	2011.0	1107.0	2463.0	2824.0	2827.0	3391.0	445.0	238.0	162.0	143.0	914.0	339.0
AC007383.3	6.0	1.0	1.0	39.0	2.0	8.0	0.0	7.0	0.0	0.0	1.0	0.0
EEF1B2	20377.0	13728.0	29330.0	33154.0	37636.0	53037.0	7066.0	9254.0	6002.0	5528.0	40854.0	11879.0
GPR1	5.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
ZDBF2	42.0	5.0	38.0	103.0	45.0	24.0	8.0	6.0	3.0	3.0	23.0	2.0
ADAM23	12.0	2.0	4.0	29.0	14.0	12.0	16.0	0.0	0.0	0.0	5.0	0.0
AC010731.2	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
AC010731.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM237A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DYTN	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
MDH1B	2.0	1.0	2.0	6.0	2.0	6.0	3.0	3.0	0.0	0.0	1.0	5.0
FASTKD2	419.0	175.0	458.0	864.0	652.0	538.0	133.0	122.0	96.0	77.0	541.0	210.0
AC008269.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC008269.1	3.0	0.0	1.0	4.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0
CPO	1.0	2.0	0.0	3.0	1.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0
KLF7	25.0	12.0	30.0	135.0	28.0	18.0	13.0	59.0	21.0	11.0	167.0	31.0
AC007879.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007879.3	4.0	1.0	0.0	0.0	2.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0
AC007879.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
AC007879.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MYOSLID	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AC009226.1	18.0	0.0	7.0	1.0	2.0	8.0	10.0	0.0	0.0	0.0	0.0	0.0
LINC01802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CREB1	830.0	289.0	553.0	1056.0	1048.0	777.0	289.0	228.0	169.0	93.0	678.0	222.0
METTL21A	1047.0	471.0	359.0	813.0	568.0	595.0	401.0	110.0	60.0	50.0	448.0	108.0
LINC01857	0.0	0.0	2.0	30.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
CCNYL1	1584.0	754.0	276.0	735.0	860.0	822.0	347.0	50.0	13.0	18.0	117.0	56.0
AC096772.1	56.0	115.0	49.0	60.0	45.0	58.0	6.0	5.0	3.0	2.0	9.0	7.0
FZD5	1794.0	1025.0	1370.0	2255.0	2127.0	1569.0	461.0	278.0	138.0	156.0	662.0	207.0
PLEKHM3	149.0	56.0	165.0	215.0	118.0	201.0	31.0	33.0	19.0	37.0	133.0	51.0
CRYGD	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	16.0	1.0	104.0	61.0
CRYGC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CRYGB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
CRYGA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2orf80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IDH1	1967.0	1891.0	2492.0	6965.0	3286.0	5415.0	1484.0	1108.0	1081.0	428.0	3820.0	1074.0
IDH1-AS1	36.0	19.0	54.0	139.0	104.0	45.0	14.0	36.0	20.0	3.0	92.0	14.0
PIKFYVE	382.0	100.0	326.0	583.0	544.0	416.0	95.0	72.0	42.0	54.0	264.0	105.0
PTH2R	0.0	0.0	0.0	1.0	5.0	1.0	0.0	0.0	0.0	0.0	5.0	2.0
MAP2	13.0	4.0	9.0	45.0	6.0	0.0	9.0	5.0	3.0	2.0	22.0	3.0
UNC80	0.0	0.0	0.0	1.0	0.0	0.0	1.0	5.0	1.0	2.0	12.0	2.0
RPE	353.0	244.0	448.0	1047.0	541.0	571.0	161.0	109.0	149.0	61.0	448.0	99.0
KANSL1L	95.0	30.0	44.0	178.0	71.0	54.0	13.0	21.0	10.0	16.0	87.0	57.0
AC007038.2	20.0	24.0	38.0	139.0	40.0	23.0	2.0	3.0	1.0	0.0	5.0	7.0
AC007038.1	9.0	4.0	34.0	19.0	15.0	30.0	1.0	1.0	3.0	0.0	4.0	6.0
ACADL	0.0	0.0	1.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0
MYL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LANCL1-AS1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LANCL1	186.0	85.0	266.0	396.0	305.0	279.0	55.0	99.0	43.0	28.0	253.0	86.0
CPS1	6.0	6.0	17.0	28.0	5.0	6.0	1.0	428.0	295.0	196.0	1301.0	1947.0
ERBB4	0.0	0.0	0.0	10.0	4.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0
LINC01878	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AC108066.1	0.0	0.0	3.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IKZF2	142.0	16.0	81.0	136.0	118.0	100.0	31.0	8.0	4.0	8.0	66.0	22.0
AC079610.2	5.0	9.0	5.0	13.0	9.0	3.0	0.0	4.0	1.0	0.0	5.0	0.0
LINC01953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC079610.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
AC079610.1	2.0	0.0	3.0	3.0	3.0	1.0	0.0	1.0	0.0	0.0	2.0	1.0
SPAG16	522.0	574.0	1049.0	1100.0	642.0	882.0	204.0	405.0	383.0	166.0	1592.0	397.0
AC068051.1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0
VWC2L	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BARD1	270.0	118.0	642.0	914.0	406.0	436.0	58.0	46.0	59.0	36.0	391.0	111.0
AC016708.1	8.0	1.0	8.0	4.0	3.0	8.0	1.0	5.0	4.0	6.0	18.0	18.0
ABCA12	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC072062.1	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
AC073284.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ATIC	611.0	703.0	1249.0	1383.0	1308.0	2010.0	395.0	331.0	232.0	148.0	1757.0	517.0
FN1	55.0	31.0	562.0	368.0	34.0	46.0	24.0	159.0	108.0	120.0	697.0	283.0
AC012462.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC012462.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC012462.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC012668.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC012668.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC012668.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00607	0.0	3.0	10.0	4.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC122136.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC093382.1	3.0	4.0	1.0	5.0	4.0	2.0	0.0	1.0	0.0	0.0	1.0	3.0
MREG	111.0	76.0	140.0	204.0	174.0	212.0	58.0	16.0	7.0	6.0	63.0	15.0
PECR	295.0	224.0	333.0	330.0	276.0	536.0	268.0	194.0	98.0	65.0	622.0	257.0
TMEM169	14.0	8.0	2.0	11.0	4.0	7.0	7.0	2.0	1.0	0.0	7.0	18.0
XRCC5	2145.0	1484.0	3528.0	6223.0	3193.0	4221.0	862.0	557.0	558.0	276.0	2852.0	922.0
LINC01963	8.0	9.0	10.0	11.0	16.0	8.0	2.0	7.0	5.0	1.0	7.0	7.0
MARCH4	2.0	2.0	0.0	0.0	0.0	0.0	3.0	7.0	0.0	0.0	20.0	1.0
AC012513.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC069155.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC098820.2	2.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0
SMARCAL1	209.0	107.0	98.0	131.0	111.0	233.0	54.0	47.0	41.0	28.0	259.0	35.0
AC098820.3	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
RPL37A	53753.0	47439.0	37706.0	138914.0	73398.0	52291.0	15437.0	46666.0	25164.0	8812.0	86629.0	15042.0
LINC01280	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
AC073321.1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IGFBP2	5482.0	1164.0	2098.0	9112.0	8965.0	8657.0	1191.0	397.0	165.0	962.0	8550.0	1707.0
IGFBP5	17.0	13.0	5.0	1096.0	13.0	12.0	4.0	45.0	48.0	20.0	87.0	16.0
AC007563.2	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AC007563.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007557.2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007557.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007557.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC007557.3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
LINC01921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AC007749.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DIRC3-AS1	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
DIRC3	7.0	0.0	0.0	0.0	1.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0
TNS1	26.0	5.0	12.0	182.0	9.0	9.0	7.0	33.0	13.0	9.0	46.0	9.0
AC010136.1	2.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
RUFY4	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
CXCR2	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
CXCR1	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ARPC2	11827.0	6605.0	6067.0	9911.0	9062.0	13927.0	3975.0	1817.0	1470.0	710.0	5910.0	1234.0
GPBAR1	16.0	6.0	11.0	7.0	19.0	17.0	6.0	13.0	4.0	2.0	48.0	0.0
AAMP	1910.0	1554.0	1848.0	4187.0	2873.0	3549.0	1282.0	513.0	400.0	313.0	2264.0	569.0
PNKD	4603.0	3386.0	4537.0	7026.0	5494.0	8900.0	1449.0	776.0	572.0	446.0	3777.0	702.0
TMBIM1	3997.0	1888.0	1451.0	2049.0	3661.0	4155.0	2224.0	832.0	477.0	690.0	3695.0	950.0
CATIP-AS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
CATIP	14.0	1.0	10.0	11.0	9.0	6.0	1.0	7.0	4.0	3.0	13.0	9.0
SLC11A1	47.0	25.0	64.0	186.0	83.0	77.0	25.0	34.0	14.0	20.0	182.0	23.0
CTDSP1	1785.0	770.0	639.0	865.0	889.0	1566.0	350.0	409.0	142.0	184.0	1247.0	339.0
AC021016.3	24.0	14.0	7.0	21.0	10.0	13.0	3.0	12.0	2.0	3.0	9.0	2.0
VIL1	5174.0	2725.0	3223.0	3920.0	5741.0	6037.0	1717.0	1383.0	725.0	406.0	3405.0	1442.0
USP37	248.0	93.0	265.0	630.0	337.0	380.0	80.0	60.0	30.0	39.0	220.0	86.0
CNOT9	370.0	292.0	508.0	2880.0	685.0	474.0	120.0	109.0	60.0	50.0	313.0	119.0
PLCD4	4.0	0.0	3.0	2.0	5.0	7.0	0.0	2.0	0.0	0.0	1.0	0.0
AC012510.1	17.0	9.0	15.0	40.0	32.0	12.0	3.0	6.0	0.0	0.0	3.0	1.0
ZNF142	100.0	34.0	159.0	135.0	202.0	204.0	46.0	12.0	2.0	6.0	44.0	19.0
BCS1L	225.0	265.0	413.0	700.0	472.0	560.0	128.0	76.0	55.0	25.0	340.0	81.0
RNF25	206.0	94.0	122.0	241.0	404.0	324.0	123.0	40.0	30.0	27.0	237.0	57.0
STK36	102.0	63.0	103.0	179.0	140.0	120.0	49.0	32.0	4.0	9.0	59.0	32.0
TTLL4	112.0	64.0	167.0	207.0	288.0	155.0	43.0	25.0	19.0	13.0	124.0	32.0
CYP27A1	637.0	653.0	567.0	391.0	548.0	832.0	467.0	524.0	355.0	297.0	1774.0	691.0
AC009974.1	4.0	6.0	3.0	1.0	2.0	1.0	1.0	6.0	2.0	0.0	4.0	1.0
PRKAG3	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WNT6	1.0	1.0	1.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WNT10A	1.0	0.0	11.0	51.0	6.0	4.0	0.0	0.0	0.0	0.0	2.0	1.0
LINC01494	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
AC097468.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDK5R2	3.0	1.0	1.0	0.0	0.0	0.0	6.0	4.0	0.0	5.0	49.0	1.0
LINC00608	3.0	0.0	3.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FEV	101.0	40.0	49.0	17.0	16.0	52.0	139.0	60.0	9.0	48.0	1442.0	12.0
CRYBA2	250.0	233.0	42.0	19.0	25.0	362.0	247.0	446.0	51.0	25.0	1095.0	11.0
AC097468.1	22.0	4.0	6.0	2.0	3.0	7.0	5.0	7.0	3.0	1.0	12.0	1.0
CFAP65	230.0	85.0	34.0	96.0	94.0	38.0	26.0	67.0	13.0	15.0	176.0	10.0
IHH	1308.0	636.0	464.0	667.0	1129.0	998.0	217.0	395.0	162.0	178.0	1310.0	227.0
AC097468.3	54.0	65.0	27.0	81.0	41.0	24.0	5.0	11.0	4.0	7.0	39.0	13.0
NHEJ1	317.0	62.0	65.0	37.0	110.0	191.0	77.0	8.0	12.0	46.0	172.0	118.0
AC068946.1	10.0	0.0	7.0	0.0	4.0	13.0	7.0	0.0	0.0	0.0	0.0	4.0
SLC23A3	147.0	54.0	69.0	96.0	126.0	88.0	91.0	28.0	7.0	7.0	47.0	16.0
CNPPD1	2817.0	923.0	1307.0	913.0	1349.0	2784.0	831.0	290.0	128.0	126.0	1410.0	292.0
RETREG2	1363.0	730.0	706.0	899.0	895.0	1299.0	323.0	182.0	42.0	121.0	737.0	167.0
ZFAND2B	2363.0	1016.0	1012.0	1238.0	1603.0	3022.0	813.0	260.0	181.0	113.0	1030.0	237.0
ABCB6	40.0	2.0	52.0	9.0	49.0	44.0	9.0	1.0	2.0	2.0	22.0	28.0
AC068946.2	6.0	1.0	3.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0
ATG9A	216.0	3.0	68.0	6.0	57.0	252.0	68.0	1.0	0.0	28.0	105.0	40.0
ANKZF1	763.0	421.0	452.0	639.0	761.0	807.0	195.0	107.0	114.0	126.0	524.0	199.0
GLB1L	111.0	20.0	39.0	79.0	75.0	73.0	29.0	39.0	28.0	26.0	229.0	98.0
STK16	701.0	410.0	639.0	610.0	782.0	1416.0	282.0	190.0	130.0	73.0	763.0	197.0
TUBA4A	2717.0	1301.0	1531.0	3857.0	2535.0	2545.0	1499.0	376.0	127.0	138.0	1873.0	243.0
TUBA4B	4.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
DNAJB2	902.0	412.0	491.0	983.0	696.0	678.0	423.0	142.0	74.0	76.0	543.0	81.0
PTPRN	0.0	3.0	0.0	0.0	1.0	2.0	9.0	47.0	8.0	3.0	141.0	3.0
AC114803.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RESP18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	10.0	0.0
DNPEP	2053.0	1151.0	1631.0	1353.0	2017.0	3283.0	640.0	390.0	195.0	200.0	1981.0	524.0
AC053503.2	87.0	7.0	10.0	6.0	4.0	16.0	11.0	6.0	2.0	3.0	16.0	6.0
DES	30.0	10.0	1.0	68.0	1.0	7.0	0.0	36.0	38.0	15.0	146.0	41.0
AC053503.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPEG	210.0	43.0	30.0	155.0	100.0	47.0	55.0	26.0	16.0	16.0	94.0	12.0
AC053503.1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
AC053503.5	40.0	16.0	6.0	10.0	9.0	9.0	4.0	16.0	0.0	2.0	5.0	1.0
GMPPA	1064.0	499.0	564.0	781.0	847.0	1086.0	295.0	166.0	137.0	64.0	782.0	224.0
ASIC4	10.0	6.0	3.0	24.0	2.0	1.0	0.0	9.0	1.0	0.0	1.0	0.0
CHPF	593.0	287.0	321.0	474.0	579.0	525.0	200.0	314.0	83.0	192.0	1350.0	488.0
TMEM198	41.0	9.0	16.0	15.0	12.0	19.0	17.0	43.0	25.0	25.0	98.0	59.0
AC009955.3	1.0	1.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	4.0	1.0
OBSL1	129.0	44.0	53.0	74.0	19.0	33.0	35.0	139.0	55.0	43.0	441.0	136.0
AC009955.4	2.0	1.0	0.0	3.0	0.0	1.0	0.0	9.0	0.0	1.0	3.0	1.0
INHA	0.0	1.0	0.0	0.0	0.0	1.0	0.0	4.0	1.0	1.0	12.0	1.0
STK11IP	322.0	152.0	172.0	193.0	298.0	294.0	75.0	19.0	10.0	16.0	85.0	32.0
AC009955.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC4A3	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	7.0	1.0
AC009955.2	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC009502.1	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
LINC01803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC019211.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC093083.1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC067956.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC093843.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPHA4	254.0	55.0	199.0	252.0	290.0	141.0	64.0	28.0	22.0	15.0	120.0	8.0
AC079834.2	36.0	7.0	29.0	26.0	41.0	28.0	7.0	7.0	5.0	4.0	15.0	4.0
AC068489.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAX3	2.0	0.0	2.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	12.0	0.0
CCDC140	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC010980.2	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
