	A26 (386C)	A30 (398B)	A32 (411C)	A33 (414C)	A34 (417C)	A38 (432C)	A39 (440C)	F66	F67	F72	F73	F78
OR1J1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR1J2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR1J4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR1N1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR1N2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR1L8	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
AL162254.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR1Q1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR1B1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR1L1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR1L3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR1L4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR1L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR5C1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PDCL	351.0	200.0	340.0	847.0	302.0	513.0	130.0	90.0	57.0	39.0	299.0	81.0
OR1K1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RC3H2	607.0	250.0	487.0	652.0	705.0	621.0	155.0	132.0	71.0	87.0	427.0	134.0
ZBTB6	88.0	51.0	91.0	204.0	164.0	130.0	25.0	11.0	11.0	10.0	90.0	33.0
ZBTB26	69.0	30.0	69.0	99.0	75.0	63.0	13.0	30.0	11.0	15.0	79.0	22.0
RABGAP1	630.0	413.0	747.0	1434.0	727.0	969.0	201.0	136.0	115.0	102.0	531.0	128.0
GPR21	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
STRBP	850.0	568.0	1025.0	2486.0	1226.0	1095.0	199.0	96.0	48.0	86.0	393.0	91.0
CRB2	8.0	25.0	9.0	120.0	28.0	13.0	0.0	4.0	2.0	2.0	2.0	1.0
DENND1A	910.0	233.0	352.0	267.0	662.0	869.0	268.0	98.0	41.0	90.0	455.0	213.0
AL445489.1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL390774.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
LHX2	1.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AC006450.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC006450.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
NEK6	418.0	191.0	519.0	538.0	664.0	669.0	142.0	38.0	25.0	43.0	399.0	79.0
AL162724.2	0.0	0.0	0.0	1.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
PSMB7	1879.0	2205.0	1832.0	4464.0	2208.0	3334.0	771.0	917.0	630.0	208.0	2443.0	464.0
ADGRD2	4.0	2.0	0.0	5.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
NR5A1	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
AL354979.1	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0
NR6A1	503.0	229.0	378.0	630.0	606.0	733.0	204.0	58.0	12.0	52.0	250.0	82.0
MIR181A2HG	37.0	3.0	23.0	26.0	31.0	27.0	14.0	4.0	5.0	4.0	19.0	32.0
AL354928.1	11.0	2.0	8.0	2.0	6.0	9.0	1.0	0.0	0.0	2.0	2.0	1.0
OLFML2A	3.0	1.0	1.0	20.0	3.0	2.0	0.0	1.0	4.0	1.0	26.0	7.0
WDR38	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL35	31824.0	31955.0	30097.0	126264.0	43216.0	46323.0	9463.0	22959.0	13021.0	4204.0	44635.0	8358.0
ARPC5L	1913.0	1280.0	2788.0	4436.0	3947.0	4275.0	896.0	438.0	236.0	110.0	1811.0	336.0
GOLGA1	500.0	180.0	337.0	382.0	340.0	626.0	131.0	46.0	19.0	29.0	150.0	84.0
SCAI	216.0	133.0	306.0	392.0	308.0	399.0	84.0	72.0	46.0	41.0	244.0	95.0
PPP6C	1199.0	701.0	937.0	1884.0	1275.0	2011.0	449.0	341.0	254.0	134.0	960.0	225.0
RABEPK	395.0	249.0	415.0	440.0	437.0	664.0	135.0	104.0	69.0	42.0	563.0	134.0
HSPA5	6731.0	4325.0	9132.0	21383.0	17001.0	10201.0	5309.0	8805.0	925.0	2578.0	12608.0	2665.0
AL354710.2	58.0	0.0	19.0	4.0	25.0	13.0	12.0	3.0	1.0	0.0	17.0	6.0
GAPVD1	677.0	251.0	558.0	809.0	1000.0	927.0	187.0	83.0	66.0	76.0	488.0	135.0
MAPKAP1	724.0	407.0	957.0	1399.0	1043.0	1407.0	265.0	122.0	54.0	45.0	289.0	104.0
AL162584.1	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PBX3	99.0	47.0	67.0	163.0	57.0	81.0	35.0	18.0	13.0	2.0	56.0	13.0
AL589923.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL162391.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
MVB12B	306.0	83.0	179.0	126.0	219.0	219.0	102.0	43.0	6.0	12.0	93.0	21.0
AL356309.2	0.0	0.0	1.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
AL356309.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL161908.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0
