	A32 (411C)	A33 (414C)	A34 (417C)	A38 (432C)	A39 (440C)	F66	F67	F72	F73	F78
TMEM259	1703.0	7.0	4446.0	213.0	737.0	683.0	135.0	5435.0	2503.0	625.0
AC004528.2	1.0	0.0	2.0	0.0	1.0	0.0	0.0	3.0	4.0	0.0
CNN2	573.0	5.0	817.0	23.0	162.0	212.0	47.0	781.0	383.0	121.0
ABCA7	51.0	0.0	129.0	5.0	85.0	19.0	4.0	37.0	16.0	10.0
ARHGAP45	498.0	2.0	417.0	70.0	418.0	393.0	54.0	786.0	462.0	156.0
POLR2E	3077.0	10.0	3487.0	487.0	1329.0	4342.0	803.0	11877.0	7142.0	2328.0
GPX4	7720.0	33.0	14995.0	2024.0	6360.0	17539.0	3766.0	53058.0	28298.0	8634.0
SBNO2	302.0	6.0	615.0	57.0	160.0	123.0	16.0	599.0	231.0	87.0
STK11	1234.0	12.0	1705.0	164.0	391.0	457.0	99.0	1870.0	910.0	317.0
CBARP	11.0	0.0	8.0	2.0	11.0	3.0	0.0	47.0	7.0	3.0
AC004221.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
ATP5F1D	24562.0	111.0	29963.0	3590.0	11384.0	3085.0	452.0	42100.0	30265.0	8924.0
MIDN	2675.0	25.0	5971.0	395.0	1139.0	2788.0	284.0	7848.0	1772.0	1083.0
CIRBP	9711.0	13.0	4401.0	746.0	1769.0	11421.0	2272.0	21922.0	16967.0	5126.0
CIRBP-AS1	12.0	0.0	10.0	1.0	6.0	3.0	1.0	11.0	6.0	1.0
C19orf24	2015.0	13.0	2058.0	187.0	584.0	888.0	120.0	3594.0	2683.0	920.0
EFNA2	66.0	0.0	121.0	5.0	74.0	0.0	0.0	254.0	23.0	20.0
AC005330.1	1.0	0.0	0.0	1.0	0.0	8.0	0.0	4.0	0.0	0.0
MUM1	947.0	26.0	1385.0	85.0	750.0	936.0	128.0	1684.0	946.0	436.0
AC005329.2	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
NDUFS7	9459.0	20.0	8610.0	1037.0	3834.0	7301.0	1153.0	17299.0	10563.0	3553.0
AC005329.3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0
AC005329.1	7.0	0.0	3.0	1.0	2.0	3.0	1.0	14.0	6.0	3.0
GAMT	41.0	0.0	36.0	0.0	8.0	1082.0	215.0	1567.0	1203.0	303.0
DAZAP1	2866.0	17.0	2350.0	177.0	547.0	1085.0	171.0	3252.0	2037.0	674.0
RPS15	115409.0	525.0	145698.0	11861.0	30957.0	175986.0	42106.0	402247.0	261967.0	64156.0
AC027307.3	122.0	0.0	25.0	2.0	15.0	52.0	0.0	48.0	4.0	26.0
APC2	4.0	0.0	0.0	1.0	13.0	2.0	1.0	14.0	0.0	5.0
AC027307.2	95.0	1.0	69.0	17.0	42.0	50.0	8.0	56.0	45.0	17.0
C19orf25	1062.0	7.0	1112.0	153.0	733.0	1145.0	147.0	2350.0	1362.0	719.0
PCSK4	100.0	0.0	86.0	11.0	94.0	63.0	11.0	162.0	100.0	50.0
REEP6	4587.0	45.0	5207.0	1399.0	8468.0	10167.0	1911.0	21633.0	17430.0	4878.0
ADAMTSL5	148.0	3.0	376.0	61.0	88.0	451.0	42.0	1396.0	341.0	270.0
AC027307.1	46.0	0.0	16.0	1.0	128.0	12.0	4.0	321.0	66.0	34.0
PLK5	5.0	0.0	1.0	0.0	0.0	13.0	2.0	14.0	6.0	1.0
MEX3D	186.0	1.0	341.0	15.0	34.0	130.0	35.0	275.0	56.0	44.0
MBD3	741.0	3.0	649.0	82.0	326.0	440.0	86.0	824.0	484.0	256.0
AC005943.1	1.0	0.0	2.0	0.0	1.0	0.0	0.0	2.0	2.0	2.0
UQCR11	23274.0	123.0	19321.0	1211.0	5178.0	19711.0	3038.0	12988.0	11570.0	6457.0
TCF3	1279.0	4.0	1140.0	101.0	266.0	451.0	76.0	1382.0	613.0	278.0
AC005256.1	0.0	0.0	25.0	0.0	1.0	116.0	3.0	5.0	8.0	1.0
ONECUT3	1.0	1.0	47.0	0.0	14.0	118.0	7.0	36.0	42.0	10.0
ATP8B3	5.0	0.0	29.0	0.0	13.0	4.0	1.0	12.0	2.0	0.0
REXO1	708.0	2.0	702.0	42.0	140.0	288.0	42.0	1184.0	322.0	183.0
AC012615.2	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
AC012615.3	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
KLF16	343.0	4.0	617.0	30.0	192.0	216.0	19.0	698.0	106.0	91.0
AC012615.4	11.0	0.0	0.0	0.0	4.0	1.0	0.0	2.0	0.0	1.0
AC012615.1	104.0	0.0	172.0	17.0	22.0	144.0	39.0	280.0	98.0	57.0
AC012615.5	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0
ABHD17A	844.0	10.0	1174.0	87.0	378.0	522.0	57.0	1359.0	628.0	213.0
SCAMP4	807.0	3.0	789.0	123.0	533.0	541.0	54.0	1630.0	630.0	335.0
ADAT3	181.0	1.0	393.0	83.0	197.0	17.0	1.0	400.0	238.0	111.0
CSNK1G2	1040.0	6.0	2262.0	119.0	279.0	393.0	64.0	1917.0	651.0	303.0
CSNK1G2-AS1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
BTBD2	1236.0	2.0	793.0	86.0	414.0	565.0	140.0	1921.0	1076.0	422.0
MKNK2	3627.0	31.0	3808.0	227.0	1386.0	641.0	71.0	3555.0	866.0	522.0
MOB3A	372.0	1.0	240.0	29.0	149.0	302.0	34.0	1109.0	313.0	179.0
IZUMO4	100.0	1.0	79.0	7.0	21.0	26.0	7.0	90.0	41.0	12.0
AP3D1	2410.0	12.0	2293.0	253.0	770.0	992.0	127.0	2976.0	1475.0	668.0
DOT1L	829.0	6.0	1514.0	158.0	327.0	237.0	24.0	1049.0	313.0	151.0
AC004490.1	9.0	0.0	8.0	1.0	9.0	9.0	2.0	22.0	7.0	15.0
PLEKHJ1	7960.0	21.0	6673.0	827.0	1586.0	5041.0	846.0	7552.0	7072.0	2098.0
SF3A2	1667.0	6.0	1418.0	136.0	586.0	1846.0	291.0	6469.0	3540.0	976.0
AMH	50.0	0.0	38.0	3.0	18.0	2.0	0.0	55.0	22.0	11.0
JSRP1	21.0	1.0	7.0	1.0	16.0	34.0	7.0	151.0	43.0	11.0
OAZ1	16575.0	124.0	17640.0	1603.0	5465.0	24107.0	3890.0	36630.0	20410.0	8003.0
AC005258.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
PEAK3	29.0	0.0	4.0	1.0	7.0	2.0	0.0	1.0	2.0	1.0
LINGO3	6.0	0.0	6.0	1.0	0.0	0.0	0.0	4.0	30.0	0.0
LSM7	10828.0	30.0	9732.0	527.0	1793.0	8674.0	1999.0	24462.0	17271.0	4597.0
SPPL2B	1944.0	9.0	2353.0	196.0	747.0	1084.0	188.0	1967.0	1267.0	770.0
TMPRSS9	5.0	1.0	5.0	1.0	50.0	5.0	0.0	5.0	2.0	0.0
TIMM13	7743.0	44.0	5646.0	487.0	1616.0	11617.0	3008.0	22844.0	16769.0	5002.0
LMNB2	980.0	2.0	666.0	57.0	115.0	292.0	48.0	1097.0	616.0	287.0
