gene	Fetal	Placenta	Adult	marker
AC104667.3	0.3077307061065052	0.012153938870996148	0.6801153550224986	
AC104699.1	0.015488740510298733	0.015488740510298733	0.9690225189794025	
AC106876.2	0.009708737864077669	0.009708737864077669	0.9805825242718447	
AC107983.4	0.661502595286463	0.011292128254791834	0.32720527645874514	
AC108488.4	0.9685027525989204	0.01574862370053981	0.01574862370053981	
AC113189.5	0.07963568286196933	0.8407286342760614	0.07963568286196933	
AC114730.3	0.013083043809688017	0.013083043809688017	0.9738339123806239	
AC124789.1	0.13167523878511714	0.8504209690890869	0.017903792125795927	
AC125232.1	0.7806173580293696	0.014618571046098372	0.20476407092453197	
AC127904.2	0.017689312596045306	0.017689312596045306	0.9646213748079093	
AC138517.6	0.010965837324630882	0.010965837324630882	0.9780683253507382	
AC141586.5	0.6671767497291364	0.009417330845132594	0.32340591942573105	
AC144449.1	0.9520008054494882	0.023999597275255906	0.023999597275255906	
AC144530.1	0.7734737902120238	0.18485528294847348	0.04167092683950265	
AC156455.1	0.49219426893136925	0.4891566852630783	0.018649045805552492	
AC245100.1	0.1635746894341623	0.6728506211316754	0.1635746894341623	
ACAA1	0.03515976893049244	0.03515976893049244	0.9296804621390151	
ACAA2	0.3322046905934391	0.024870542544694292	0.6429247668618666	
ACACA	0.5682003141467186	0.054924317694093776	0.3768753681591876	
ACACB	0.020999323039601978	0.020999323039601978	0.958001353920796	
ACAD10	0.11522830948613799	0.03706191138221833	0.8477097791316436	
ACAD8	0.4481514231878786	0.02337119177732959	0.5284773850347919	
ACAD9	0.45408184902803905	0.06495437653953592	0.48096377443242505	
ACADM	0.6706128576729586	0.04798176379580764	0.28140537853123376	
ACADS	0.023210639623202033	0.023210639623202033	0.9535787207535958	
ACADSB	0.17681016755482015	0.026898448972014478	0.7962913834731653	
ACADVL	0.03765511696829702	0.03765511696829702	0.9246897660634059	
ACAN	0.011437578242485839	0.9771248435150283	0.011437578242485839	
ACAP1	0.026865897678106827	0.7890165756704244	0.18411752665146888	
ACAP2	0.3009656011891804	0.03535846311273652	0.663675935698083	
ACAP3	0.06415838626056455	0.06415838626056455	0.871683227478871	
ACAT1	0.033071438699470684	0.033071438699470684	0.9338571226010586	
ACAT2	0.31261345365180127	0.034594562013847106	0.6527919843343517	
ACBD3	0.04853350846253901	0.7187669178174196	0.2326995737200413	
ACBD4	0.03461645044297763	0.03461645044297763	0.9307670991140446	
ACBD5	0.19616937595096715	0.045457629466198815	0.758372994582834	
ACBD6	0.07536267732122193	0.8492746453575561	0.07536267732122193	
ACCS	0.07534284198472802	0.07534284198472802	0.8493143160305441	
ACD	0.657120584612818	0.27768933330507994	0.06519008208210203	
ACE	0.14495041793363067	0.008382839039866365	0.8466667430265029	
ACE2	0.5933565733391197	0.013704154514642741	0.39293927214623753	
ACER3	0.046972337875283224	0.39443821635284954	0.5585894457718672	
ACHE	0.04787689755590088	0.2834204579851634	0.6687026444589358	
ACIN1	0.575766365588459	0.11873062934258753	0.3055030050689535	
ACKR1	0.015295053900238767	0.015295053900238767	0.9694098921995224	
ACKR2	0.011988868670276301	0.9760222626594474	0.011988868670276301	
ACKR3	0.5172316835183867	0.46123337571963036	0.021534940761982972	
ACKR4	0.22789905383657924	0.011336813757443972	0.7607641324059767	
ACLY	0.08281449898322388	0.08281449898322388	0.8343710020335522	
ACO1	0.5101833950070551	0.03210526372669008	0.45771134126625485	
ACO2	0.047244782167357405	0.047244782167357405	0.9055104356652852	
ACOT1	0.7676129969976266	0.010539726567218884	0.2218472764351546	
ACOT11	0.024652197940749368	0.024652197940749368	0.9506956041185012	
ACOT13	0.7100482707636901	0.02673479883639142	0.26321693039991845	
ACOT2	0.41265051852457924	0.09486089097934243	0.49248859049607824	
ACOT4	0.2996343395971766	0.05174556582403473	0.6486200945787887	
ACOT7	0.03713315260103859	0.03713315260103859	0.9257336947979229	
ACOT8	0.05757325690242679	0.05757325690242679	0.8848534861951465	
ACOT9	0.05029959904718248	0.899400801905635	0.05029959904718248	
ACOX1	0.0417588025161756	0.06064663803495551	0.8975945594488689	
ACOX2	0.2966869502334471	0.029054652495868544	0.6742583972706845	
ACOX3	0.06747255589348566	0.06747255589348566	0.8650548882130288	
ACP1	0.5929358348967618	0.3404992828208418	0.06656488228239632	
