gene	Fetal	Placenta	Adult	marker
AADAC	0.9805825242718447	0.009708737864077669	0.009708737864077669	
CCDC8	0.9805825242718447	0.009708737864077669	0.009708737864077669	
FBXL2	0.9805825242718447	0.009708737864077669	0.009708737864077669	
RENBP	0.9805825242718447	0.009708737864077669	0.009708737864077669	
SOAT2	0.9805825242718447	0.009708737864077669	0.009708737864077669	
HSD17B14	0.9805825242718447	0.009708737864077669	0.009708737864077669	
FBLN5	0.9805825242718447	0.009708737864077669	0.009708737864077669	
AKAP7	0.8956778756108484	0.09360765874495623	0.010714465644195245	
MAGEH1	0.9805825242718447	0.009708737864077669	0.009708737864077669	
CERS4	0.9805825242718447	0.009708737864077669	0.009708737864077669	
CPVL	0.9805825242718447	0.009708737864077669	0.009708737864077669	
LINC01146	0.9805825242718447	0.009708737864077669	0.009708737864077669	
AC090204.1	0.9805825242718447	0.009708737864077669	0.009708737864077669	
SCPEP1	0.9746917188816353	0.012654140559182339	0.012654140559182339	
LY6E	0.9538947604530174	0.03666073696823994	0.009444502578742747	
FBXO2	0.8895456234787107	0.10164699411060897	0.008807382410680305	
SHBG	0.9805825242718447	0.009708737864077669	0.009708737864077669	
SLC29A1	0.7756592096061647	0.21321255720105323	0.011128233192782014	
BCAM	0.9702634485114294	0.014868275744285266	0.014868275744285266	
COL18A1	0.9805825242718447	0.009708737864077669	0.009708737864077669	
POSTN	0.9805825242718447	0.009708737864077669	0.009708737864077669	
TYRO3	0.9775299748544557	0.01123501257277215	0.01123501257277215	
NKAIN3	0.9805825242718447	0.009708737864077669	0.009708737864077669	
MME	0.6465872653133129	0.3470108805746741	0.006401854112012999	
AL359504.2	0.9795197488377156	0.010240125581142194	0.010240125581142194	
SLC19A3	0.46546872239023934	0.5292907748880964	0.0052405027216643205	
PACSIN3	0.5909782618752152	0.4031704682052283	0.0058512699195565855	
TRIM71	0.49753694581280794	0.49753694581280794	0.004926108374384237	TRIM71
DNASE1	0.9097465710479365	0.0806083388697918	0.009645090082271589	
F10	0.9805825242718447	0.009708737864077669	0.009708737864077669	
ARID3A	0.6672835746452489	0.3259103368918063	0.006806088462944741	
FAM20A	0.9805825242718447	0.009708737864077669	0.009708737864077669	
IQCA1	0.9805825242718447	0.009708737864077669	0.009708737864077669	
EGFR-AS1	0.49753694581280794	0.49753694581280794	0.004926108374384237	
FKBP5	0.009708737864077669	0.009708737864077669	0.9805825242718447	
SMIM1	0.5930853605655922	0.3998152523473654	0.007099387087042317	
MALRD1	0.9801085564807361	0.009945721759631945	0.009945721759631945	
CCDC88B	0.010580480240575382	0.010580480240575382	0.9788390395188492	
SUSD3	0.9805825242718447	0.009708737864077669	0.009708737864077669	
PAPLN	0.9773257620765209	0.011337118961739558	0.011337118961739558	
CSF3R	0.49753694581280794	0.49753694581280794	0.004926108374384237	
MYL9	0.9805825242718447	0.009708737864077669	0.009708737864077669	
MST1	0.5833160839887983	0.407961390495709	0.008722525515492664	
KLHDC8B	0.9702993249720661	0.014850337513966971	0.014850337513966971	
MYL3	0.9805825242718447	0.009708737864077669	0.009708737864077669	
TNFRSF11B	0.9697476389675493	0.015126180516225291	0.015126180516225291	
VTN	0.9805825242718447	0.009708737864077669	0.009708737864077669	
ZNF415	0.8630902784532244	0.12484433862323428	0.012065382923541286	
IL15RA	0.009708737864077669	0.009708737864077669	0.9805825242718447	
SPARC	0.9805825242718447	0.009708737864077669	0.009708737864077669	
SLC16A4	0.5009984561880326	0.49275344906177404	0.006248094750193371	
SLC7A2	0.7772688180051701	0.21441306756429174	0.008318114430538192	
ACTG2	0.9805825242718447	0.009708737864077669	0.009708737864077669	
NFATC2	0.9632184765572094	0.01839076172139532	0.01839076172139532	
KLHL13	0.9711740503970357	0.014412974801482112	0.014412974801482112	
PIEZO2	0.9805825242718447	0.009708737864077669	0.009708737864077669	
