	Adrenal	Thyroid	Spleen	Thymus	Liver	Skin	Stomach
ABCA13	45.1094972695289	43.130932016495954	70.45435171767113	67.01849305955918	65.04397537379067	73.15980371239598	68.79250971367327
ABCA2	-26.111297164587526	-21.038725178613916	-25.79811400995336	29.225459765970257	-39.67401232154951	-23.43009102478201	-32.426172233765314
ABCA3	3.0079632947166886	-13.820824212087956	25.77134448586323	27.1604258141789	20.633176433784854	17.8128774150577	7.463019831610481
ABCA4	30.280353965789526	37.079352887523406	62.45844344045691	52.69468743332622	60.705627705627705	63.978194617332704	39.39579848171676
ABCA5	39.33808428331966	35.25591547371573	27.321135433208042	53.430280125509384	19.51734160423088	5.020852874277679	27.297481249941008
ABCA6	34.83162265615622	17.06721242296029	46.65059621891615	76.94605974850745	5.917639234666396	37.547398215585055	9.329919284588257
ABCA7	1.81735524358362	-8.131384416042792	-12.716419893897537	34.5503782551058	27.61048046962516	-19.259411947099743	-0.3560277046445961
ABCA8	-26.479447592364977	1.9966001043611783	7.717577237733423	49.50651722611166	16.03738499768731	42.790041376271375	14.659773079940578
ABCA9	34.04243616411752	11.986251960816261	61.29089881345005	73.24859525030827	31.460381665417117	30.20388990705048	-3.9069049425062303
ABCA9-AS1	16.020721858320393	21.187122736418512	44.01369264896164		40.93667546174142	41.20588110673277	26.295191850452703
ABCB1	-15.858964811650125	33.74403417636838	34.39626716299165	54.48255059632436	1.3102360350111724	70.65746824875974	44.01886120922319
ABCB10	18.736553501478475	17.078093360930644	25.47909435895202	31.564990370773074	36.77151573448654	29.39272865706605	23.385979155536106
ABCB11	33.89465254447454	33.55575824492343	55.937260250618024	52.34550183872994	7.8033079007571615	50.792542157703934	32.15411975472725
ABCB4	22.94503949064103	55.50861696510009	28.423371994076938	45.15499578695285	-19.234038787702744	73.79295453027147	37.71825013226943
ABCB5	53.976856325314344	45.972327945193214	65.42011732229123	63.0936633240879	78.0901578418084	67.21037043396146	47.11228688209577
ABCB7	25.957668414849607	26.746806949442913	29.069048795470394	28.962727093709134	35.42815389362558	26.06920672644125	26.802108437270995
ABCB8	-6.4876864755109125	-9.474939565253507	8.096943610295092	30.076717719813182	0.9791221032761541	12.483080009215556	-1.0269141584130423
ABCB9	48.812339936022134	30.439682077099402	38.51804913448736	59.7507761547942	30.58325939171241	47.734129230891725	35.62248240173343
ABCC1	31.374130137231845	10.145789181432633	19.925298330954732	72.3865077493022	21.849996115473424	23.841467121886552	15.947571660480747
ABCC10	30.490361175314746	15.09865018174991	23.922090561998267	31.30371631430681	23.307926238978304	16.62370334513286	22.940169661257777
ABCC11	38.013217609764915	27.842206600098507	45.05262249827467	42.71235088348731	39.40856878190776	42.63281416684446	27.10069283277097
ABCC12	1.6946696472319704	25.992722105255	26.400136390759528	18.546276996762607	17.735553719726944	35.12040176846804	13.706521597069305
ABCC2	28.411524100814503	41.9256321068814	31.640825055323027	48.64073794846778	1.7233376286874318	37.22199712428032	40.925807350334566
ABCC3	-51.50917668207599	-16.576399403198835	10.801830114289913	59.4970952148654	-17.981083953754066	-16.513371004117417	-2.0080654779395815
ABCC4	70.07489855707455	43.17928988469126	66.00339108856167	69.77772463243396	62.72113642941507	46.66916121963833	32.21186355965034
ABCC5	28.259135927245424	29.48604655239908	11.126185689823814	28.765401177592786	38.52895580161613	14.207854796960945	-2.451694355061221
ABCC5-AS1	1.7206384717184908	17.613110876451117			0.004494988088281566		
ABCC6	41.343270838953785	22.594766745408815	50.46152518978606	41.463622786430555	6.472543699219898	50.08262361764332	36.12778537942114
ABCC8	22.0700676458859	13.028474554148474	44.42982816739291	42.73949221250267	39.19525065963061	53.43417651794415	16.071098682124337
ABCC9	30.55559411249066	40.07061909863552	67.00762527530749	72.86764771203691	-12.55518664929707	66.33057974482688	25.801374388608238
ABCD1	-16.9085753438504	0.465580113343961	-23.018589034282243	24.814553338907064	-22.207255740064248	-1.7405700013192416	-33.408989300082325
ABCD2	16.301162665812928	19.159959758551306	35.23867392391317	36.71136804805942	29.124890061565523	45.04013392282268	52.46419575341342
ABCD3	18.571682510927516	9.372178058527993	40.609909550984426	7.467574446854172	6.234078408748701	4.847260481697475	3.2674176772862467
ABCD4	4.809290360990346	-7.923508001574419	-2.8628900413408616	42.42557940488567	4.209254231563023	8.866177364508104	-3.6106916810617236
ABCE1	9.718212723170069	-1.7116194218355218	2.188870168925206	-1.3696720683504395	-3.146337409413235	7.437752737319343	8.71797922306638
ABCF1	-6.55923437958829	-10.098494372141118	-1.1480448628176845	27.907989141142572	-1.6836323531431674	-7.130558030986492	-7.2270274196243065
ABCF2							
ABCF2-H2BK1							
ABCF3	-30.143382228391175	-27.841994872646247	-33.158091954947174	-11.881690474818349	-28.359066615190862	-21.430358940646897	-30.47086345653736
ABCG1	4.081678774512014	23.95254739681625	6.430673681486098	21.857732152221246	31.106850270544257	12.002465279648838	2.8856168514993783
ABCG2	38.03704897491981	16.363492938292346	76.88768410858249	61.6697184555244	6.008457064340618	71.25380950336954	65.03560849692255
ABCG4	6.965468914633648	-1.0671598860046068	11.388628420424517	8.712204153179393	0.004372349263259149	1.6219969922224242	8.570743139534063
ABCG5	7.853916090828118	12.544148615445987	13.023102852914578	8.013659142312298	-6.1839972547846855	13.160459302571926	4.633624189750633
ABCG8	11.48162558469598	12.264426234116291	24.6568919955673	23.0209765399796	-6.314952806756082	28.08355578153468	9.36468655411623
ABHD1	2.2654690444370225	-3.9254210845778097	12.461474586474088	18.89407121714952	-5.6948627372300855	5.26677254582135	1.444007858546169
ABHD10	-22.505439885103968	-25.002188535882226	-17.78450354579323	-16.107134024254044	-25.886040596983122	4.5332659634327825	-17.146397274844205
ABHD11	-67.70682293215161	-65.22592627275714	-48.48815386573934	-2.1148135207064804	-71.9188805234685	-50.85398396617114	-42.05053438581462
ABHD12	-0.19125531191696155	-7.356589438398572	13.444761613624252	16.04336832808677	13.922649442679472	-3.1879489301041417	-6.839468339446938
ABHD12B	9.61466105217375	7.942328129386142	23.649930986887508	24.830369417712536	21.73326740684137	-35.33896663117266	6.316185584608359
ABHD13	19.782788818125148	1.4824303380585278	6.3062159709256775	14.172465199398147	-0.5765764630159538	13.096967510585422	7.604598659880011
ABHD14A	-87.45623290904676	-63.79342270823554	-48.19973265794287	-37.53634209909465	-51.05712866368603	-37.426021801994864	-65.50027002784545
ABHD14A-ACY1	12.768299116196113	9.370649512745427	29.8397408575569	26.639762295445475	26.437830929340876	21.42705817550104	11.77092562946057
ABHD14B	-86.09272936631905	-70.24938887096228	-62.21001765063842	-68.22470498850635	-62.952563777863574	-63.96842556047696	-78.30129295857097
ABHD15		-49.30847887042506	-43.63368274795222	-1.1428187291251355	-48.154520730605185	-22.350278317954125	-37.74755160319953
ABHD15-AS1	53.198239481764624	52.47467716384235	69.09044412241072		58.380657373945965	57.65433668064912	46.76999667557111
ABHD16B							
ABHD17A	-58.86398626958154	-58.443690082528654	-40.607565501792315	5.929047164719066	-47.17591356541533	-56.113461356556684	-50.53957750374878
ABHD17B	26.302131002659905	15.063085985897331	28.504299918926343	6.2433787175981905	15.600113997537278	9.795315985833767	23.424668379058588
ABHD17C	31.659773564130603	16.190840185091005	15.926933204687536	27.285442493409413	9.014694632723142	-6.438137880881754	-4.949777933125702
ABHD18	61.04626672236027	45.15200761458825	47.25966963311052	61.54189000056231	41.73549414210091	51.83841708787676	50.187422984983506
ABHD2	0.43228431451623806	12.725441054974254	9.216605360271231	23.123948534182347	-4.564356094267879	22.198597517553495	-7.746554339946883
ABHD3	42.19075778639176	10.619079411550288	9.242464014463849	22.260834892199384	14.819931164983345	39.759844503489134	-10.103027265147787
ABHD4	-26.705936925400252	-32.08581314686546	-31.01339605358239	-22.754270569782488	-20.843061243991272	-44.75431602809537	-37.49754354650763
ABHD5	19.735444882682927	-3.683185557351976	14.978200060510389	22.04959968495009	22.585680386957875	-6.344798560789627	4.023073950481347
ABHD6	14.462102923906698	17.76893482882204	-10.073463351410197	35.22235580992003	-9.772349749121275	-12.65054796524413	1.610401749564744
ABHD8	-37.36277843667509	-14.614878731341285	-9.840113082547369	35.359908664550865	-23.82375749884288	-7.755622243555344	-33.859411275677985
ABI1	20.995940190951373	11.458082786379308	10.452300983146102	6.735198128722615	10.813319805131783	4.3207574770067225	6.710272785729643
ABI2	33.73902032287231	15.490330369121722	36.82707784720789	21.825356761875412	37.22835235630864	53.540681453820895	34.99059581289159
